thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(-0.28)],[np.float64(-0.26)],[1],[0],[0],[1.8082707499997923],['target'],0,0,0,0,0.056079083999065915,,5,0.01701120899815578,0.056079083999065915,0.056079083999065915,0.017026834000716917,1.8253490419992886,[np.float64(-0.28)],[np.float64(-0.26)],[1],[0],[0],[1.8082707499997923],['target'],006,001,2025-09-30_12h11.09.702,Visual Search,,2025.1.1,None,2025-09-30 12h11.16.473503 +0530,
1,0,1,[np.float64(0.22125)],[np.float64(-0.06375)],[1],[0],[0],[1.950882958000875],['target'],1,0,1,0,1.844015209000645,,5,1.8371637089985597,1.844015209000645,1.844015209000645,0.0116036660001555,3.7881455419992562,[np.float64(0.22125)],[np.float64(-0.06375)],[1],[0],[0],[1.950882958000875],['target'],006,001,2025-09-30_12h11.09.702,Visual Search,,2025.1.1,None,2025-09-30 12h11.16.473503 +0530,
2,0,2,[np.float64(0.39375)],[np.float64(-0.145)],[1],[0],[0],[2.252432208002574],['target'],2,0,2,0,3.8094442500005243,,5,3.802149125000142,3.8094442500005243,3.8094442500005243,0.013728709000133676,6.054665167001076,[np.float64(0.39375)],[np.float64(-0.145)],[1],[0],[0],[2.252432208002574],['target'],006,001,2025-09-30_12h11.09.702,Visual Search,,2025.1.1,None,2025-09-30 12h11.16.473503 +0530,
3,0,3,[np.float64(-0.2175)],[np.float64(-0.4575)],[1],[0],[0],[2.1847606250012177],['target'],3,0,3,0,6.076120792000438,,5,6.068791041998338,6.076120792000438,6.076120792000438,0.013922707999881823,8.253627709000284,[np.float64(-0.2175)],[np.float64(-0.4575)],[1],[0],[0],[2.1847606250012177],['target'],006,001,2025-09-30_12h11.09.702,Visual Search,,2025.1.1,None,2025-09-30 12h11.16.473503 +0530,
4,0,4,[np.float64(-0.09625)],[np.float64(0.0)],[1],[0],[0],[1.4245149169983051],['target'],4,0,4,0,8.274271709000459,,5,8.267055500000424,8.274271709000459,8.274271709000459,0.013214791997597786,9.691629917000682,[np.float64(-0.09625)],[np.float64(0.0)],[1],[0],[0],[1.4245149169983051],['target'],006,001,2025-09-30_12h11.09.702,Visual Search,,2025.1.1,None,2025-09-30 12h11.16.473503 +0530,
5,0,5,"[np.float64(0.24125), np.float64(0.38125)]","[np.float64(0.03625), np.float64(0.0)]","[1, 1]","[0, 0]","[0, 0]","[1.994063416001154, 2.7275470410022535]","[None, 'target']",5,0,5,0,9.723636416998488,,10,9.714079166999,9.723636416998488,9.723636416998488,0.022282541998720262,12.441672083998128,"[np.float64(0.24125), np.float64(0.38125)]","[np.float64(0.03625), np.float64(0.0)]","[1, 1]","[0, 0]","[0, 0]","[1.994063416001154, 2.7275470410022535]","[None, 'target']",006,001,2025-09-30_12h11.09.702,Visual Search,,2025.1.1,None,2025-09-30 12h11.16.473503 +0530,
6,0,6,[np.float64(0.03)],[np.float64(-0.11625)],[1],[0],[0],[1.3798832920001587],['target'],6,0,6,0,12.471328084000561,,10,12.461761916998512,12.471328084000561,12.471328084000561,0.019896084002539283,13.841690124998422,[np.float64(0.03)],[np.float64(-0.11625)],[1],[0],[0],[1.3798832920001587],['target'],006,001,2025-09-30_12h11.09.702,Visual Search,,2025.1.1,None,2025-09-30 12h11.16.473503 +0530,
7,0,7,[np.float64(0.46)],[np.float64(0.47875)],[1],[0],[0],[2.522897416998603],['target'],7,0,7,0,13.859177041998919,,5,13.8524824169981,13.859177041998919,13.859177041998919,0.010630832999595441,16.375442666998424,[np.float64(0.46)],[np.float64(0.47875)],[1],[0],[0],[2.522897416998603],['target'],006,001,2025-09-30_12h11.09.702,Visual Search,,2025.1.1,None,2025-09-30 12h11.16.473503 +0530,
8,0,8,[np.float64(-0.065)],[np.float64(-0.08625)],[1],[0],[0],[2.4637488330008637],['target'],8,0,8,0,16.39595154199924,,5,16.388611209000373,16.39595154199924,16.39595154199924,0.01300249999985681,18.85243258400078,[np.float64(-0.065)],[np.float64(-0.08625)],[1],[0],[0],[2.4637488330008637],['target'],006,001,2025-09-30_12h11.09.702,Visual Search,,2025.1.1,None,2025-09-30 12h11.16.473503 +0530,
9,0,9,[np.float64(-0.00875)],[np.float64(0.00375)],[1],[0],[0],[1.825377541998023],['target'],9,0,9,0,18.87403374999849,,5,18.866588583998237,18.87403374999849,18.87403374999849,0.013905584000895033,20.692022333998466,[np.float64(-0.00875)],[np.float64(0.00375)],[1],[0],[0],[1.825377541998023],['target'],006,001,2025-09-30_12h11.09.702,Visual Search,,2025.1.1,None,2025-09-30 12h11.16.473503 +0530,
