pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,x,1,1.0648521250113845,None,0,0,0,0,,,,,0.029630374992848374,,0.021576207989710383,0.029630374992848374,1.0035758749872912,1.0035758749872912,1.0035758749872912,1.0035758749872912,1.024739040993154,1.9956388329883339,1.9956388329883339,3.2640698329923907,x,1,1.0648521250113845,None,,,,,04,001,2025-10-03_09h16.01.881,Motor Sequential Learning,,2025.1.1,None,2025-10-03 09h16.22.197735 +0530,
150,v,1,1,0,v,1,0.4560413329891162,None,0,1,1,1,,,,,3.2723601249890635,,3.2643752909934847,3.2723601249890635,4.259358040988445,4.259358040988445,4.259358040988445,4.259358040988445,4.2703449159889715,5.259447082993574,5.259447082993574,5.722105707987794,v,1,0.4560413329891162,None,,,,,04,001,2025-10-03_09h16.01.881,Motor Sequential Learning,,2025.1.1,None,2025-10-03 09h16.22.197735 +0530,
50,c,2,2,0,c,1,0.696946541997022,None,0,2,2,2,,,,,5.731286750000436,,5.722995832999004,5.731286750000436,6.720209582999814,6.720209582999814,6.720209582999814,6.720209582999814,6.724459124990972,7.72035666598822,7.72035666598822,8.421970957992016,c,1,0.696946541997022,None,,,,,04,001,2025-10-03_09h16.01.881,Motor Sequential Learning,,2025.1.1,None,2025-10-03 09h16.22.197735 +0530,
-150,z,3,3,0,z,1,0.4190737919998355,None,0,3,3,3,,,,,8.427221457997803,,8.422810832998948,8.427221457997803,9.42015687499952,9.42015687499952,9.42015687499952,9.42015687499952,9.424310165995848,10.420245540997712,10.420245540997712,10.8432665829896,z,1,0.4190737919998355,None,,,,,04,001,2025-10-03_09h16.01.881,Motor Sequential Learning,,2025.1.1,None,2025-10-03 09h16.22.197735 +0530,
-50,x,4,0,1,x,1,0.5605645420000656,None,1,0,4,0,,,,,10.85304229099711,,10.84379208298924,10.85304229099711,11.841974665992893,11.841974665992893,11.841974665992893,11.841974665992893,11.841974665992893,12.843628707996686,12.843628707996686,13.410328874990228,x,1,0.5605645420000656,None,,,,,04,001,2025-10-03_09h16.01.881,Motor Sequential Learning,,2025.1.1,None,2025-10-03 09h16.22.197735 +0530,
150,v,5,1,1,v,1,0.3139288340025814,None,1,1,5,1,,,,,13.419781749995309,,13.410822124991682,13.419781749995309,14.40877537499182,14.40877537499182,14.40877537499182,14.40877537499182,14.40877537499182,15.409249874996021,15.409249874996021,15.72694770799717,v,1,0.3139288340025814,None,,,,,04,001,2025-10-03_09h16.01.881,Motor Sequential Learning,,2025.1.1,None,2025-10-03 09h16.22.197735 +0530,
50,c,6,2,1,c,1,0.6158670000004349,None,1,2,6,2,,,,,15.73656237499381,,15.727444749994902,15.73656237499381,16.72512824999285,16.72512824999285,16.72512824999285,16.72512824999285,16.72512824999285,17.727195749990642,17.727195749990642,18.354810582997743,c,1,0.6158670000004349,None,,,,,04,001,2025-10-03_09h16.01.881,Motor Sequential Learning,,2025.1.1,None,2025-10-03 09h16.22.197735 +0530,
-150,z,7,3,1,z,1,0.31958441699680407,None,1,3,7,3,,,,,18.363852790993406,,18.35555366599874,18.363852790993406,19.35340058300062,19.35340058300062,19.35340058300062,19.35340058300062,19.35846679098904,20.353513999987626,20.353513999987626,20.676673165988177,z,1,0.31958441699680407,None,,,,,04,001,2025-10-03_09h16.01.881,Motor Sequential Learning,,2025.1.1,None,2025-10-03 09h16.22.197735 +0530,
-50,x,8,0,2,x,1,0.5282242079993011,None,2,0,8,0,,,,,20.686561874987092,,20.677163207990816,20.686561874987092,21.6752662910003,21.6752662910003,21.6752662910003,21.6752662910003,21.6752662910003,22.675784915991244,22.675784915991244,23.210525082991808,x,1,0.5282242079993011,None,,,,,04,001,2025-10-03_09h16.01.881,Motor Sequential Learning,,2025.1.1,None,2025-10-03 09h16.22.197735 +0530,
150,v,9,1,2,v,1,0.30808045899902936,None,2,1,9,1,,,,,23.220381999999518,,23.211021415991127,23.220381999999518,24.208659457988688,24.208659457988688,24.208659457988688,24.208659457988688,24.208659457988688,25.208885332991485,25.208885332991485,25.5218734999944,v,1,0.30808045899902936,None,,,,,04,001,2025-10-03_09h16.01.881,Motor Sequential Learning,,2025.1.1,None,2025-10-03 09h16.22.197735 +0530,
50,c,10,2,2,c,1,0.3607962079986464,None,2,2,10,2,,,,,25.5320578749961,,25.522768332986743,25.5320578749961,26.52005612499488,26.52005612499488,26.52005612499488,26.52005612499488,26.524476874998072,27.520121415989706,27.520121415989706,27.88833895800053,c,1,0.3607962079986464,None,,,,,04,001,2025-10-03_09h16.01.881,Motor Sequential Learning,,2025.1.1,None,2025-10-03 09h16.22.197735 +0530,
-150,z,11,3,2,z,1,0.24321816599695012,None,2,3,11,3,,,,,27.89826337499835,,27.888994332999573,27.89826337499835,28.886790958000347,28.886790958000347,28.886790958000347,28.886790958000347,28.89172287499241,29.88671649999742,29.88671649999742,30.138494540995453,z,1,0.24321816599695012,None,,,,,04,001,2025-10-03_09h16.01.881,Motor Sequential Learning,,2025.1.1,None,2025-10-03 09h16.22.197735 +0530,
-50,x,12,0,3,x,1,0.45400316700397525,None,3,0,12,0,,,,,30.148714665992884,,30.13925612499588,30.148714665992884,31.136707124998793,31.136707124998793,31.136707124998793,31.136707124998793,31.141483999992488,32.13677120799548,32.13677120799548,32.592619666000246,x,1,0.45400316700397525,None,,,,,04,001,2025-10-03_09h16.01.881,Motor Sequential Learning,,2025.1.1,None,2025-10-03 09h16.22.197735 +0530,
150,v,13,1,3,v,1,0.36710891700931825,None,3,1,13,1,,,,,32.602566790999845,,32.593122499994934,32.602566790999845,33.59158570799627,33.59158570799627,33.59158570799627,33.59158570799627,33.59158570799627,34.586613874998875,34.586613874998875,34.96080229099607,v,1,0.36710891700931825,None,,,,,04,001,2025-10-03_09h16.01.881,Motor Sequential Learning,,2025.1.1,None,2025-10-03 09h16.22.197735 +0530,
50,c,14,2,3,c,1,0.46641670900862664,None,3,2,14,2,,,,,34.986907957994845,,34.96129904099507,34.986907957994845,35.95805624999048,35.95805624999048,35.95805624999048,35.95805624999048,35.974629415999516,36.95919170799607,36.95919170799607,37.438297124987,c,1,0.46641670900862664,None,,,,,04,001,2025-10-03_09h16.01.881,Motor Sequential Learning,,2025.1.1,None,2025-10-03 09h16.22.197735 +0530,
-150,z,15,3,3,z,1,0.347138332988834,None,3,3,15,3,,,,,37.4484664999909,,37.43913120799698,37.4484664999909,38.43665962498926,38.43665962498926,38.43665962498926,38.43665962498926,38.441757249995135,39.43655799998669,39.43655799998669,39.78798499998811,z,1,0.347138332988834,None,,,,,04,001,2025-10-03_09h16.01.881,Motor Sequential Learning,,2025.1.1,None,2025-10-03 09h16.22.197735 +0530,
-50,x,16,0,4,x,1,0.5925512920075562,None,4,0,16,0,,,,,39.79342204099521,,39.78875891599455,39.79342204099521,40.78665049999836,40.78665049999836,40.78665049999836,40.78665049999836,40.791529624999384,41.78693991599721,41.78693991599721,42.38835266599199,x,1,0.5925512920075562,None,,,,,04,001,2025-10-03_09h16.01.881,Motor Sequential Learning,,2025.1.1,None,2025-10-03 09h16.22.197735 +0530,
150,v,17,1,4,v,1,0.317892708000727,None,4,1,17,1,,,,,42.39868979099265,,42.38917429099092,42.39868979099265,43.3866854999942,43.3866854999942,43.3866854999942,43.3866854999942,43.3916000409954,44.38653649999469,44.38653649999469,44.70992233300058,v,1,0.317892708000727,None,,,,,04,001,2025-10-03_09h16.01.881,Motor Sequential Learning,,2025.1.1,None,2025-10-03 09h16.22.197735 +0530,
50,c,18,2,4,c,1,0.49159450001025107,None,4,2,18,2,,,,,44.73696066599223,,44.71041870799672,44.73696066599223,45.70898058298917,45.70898058298917,45.70898058298917,45.70898058298917,45.723914040994714,46.70903454099607,46.70903454099607,47.204760165986954,c,1,0.49159450001025107,None,,,,,04,001,2025-10-03_09h16.01.881,Motor Sequential Learning,,2025.1.1,None,2025-10-03 09h16.22.197735 +0530,
-150,z,19,3,4,z,1,0.5692312500032131,None,4,3,19,3,,,,,47.210131040992565,,47.20560629099782,47.210131040992565,48.203312082987395,48.203312082987395,48.203312082987395,48.203312082987395,48.20792041599634,49.203219832998,49.203219832998,49.7754758749943,z,1,0.5692312500032131,None,,,,,04,001,2025-10-03_09h16.01.881,Motor Sequential Learning,,2025.1.1,None,2025-10-03 09h16.22.197735 +0530,
-50,x,20,0,5,x,1,0.49975904199527577,None,5,0,20,0,,,,,49.78570729099738,,49.77595412499795,49.78570729099738,50.77485791599611,50.77485791599611,50.77485791599611,50.77485791599611,50.77485791599611,51.776651415988454,51.776651415988454,52.28805008299241,x,1,0.49975904199527577,None,,,,,04,001,2025-10-03_09h16.01.881,Motor Sequential Learning,,2025.1.1,None,2025-10-03 09h16.22.197735 +0530,
150,v,21,1,5,v,1,0.313726874999702,None,5,1,21,1,,,,,52.298270374987624,,52.28891149999981,52.298270374987624,53.28646570799174,53.28646570799174,53.28646570799174,53.28646570799174,53.29075516598823,54.286566040987964,54.286566040987964,54.60440570799983,v,1,0.313726874999702,None,,,,,04,001,2025-10-03_09h16.01.881,Motor Sequential Learning,,2025.1.1,None,2025-10-03 09h16.22.197735 +0530,
50,c,22,2,5,c,1,0.5343289169977652,None,5,2,22,2,,,,,54.609357458000886,,54.60508408299938,54.609357458000886,55.60318983299658,55.60318983299658,55.60318983299658,55.60318983299658,55.6079574579926,56.603090457996586,56.603090457996586,57.14304333299515,c,1,0.5343289169977652,None,,,,,04,001,2025-10-03_09h16.01.881,Motor Sequential Learning,,2025.1.1,None,2025-10-03 09h16.22.197735 +0530,
-150,z,23,3,5,z,1,0.28956829199159984,None,5,3,23,3,,,,,57.15279791598732,,57.143559124990134,57.15279791598732,58.1423674159887,58.1423674159887,58.1423674159887,58.1423674159887,58.1423674159887,59.14267970799119,59.14267970799119,59.43793012498645,z,1,0.28956829199159984,None,,,,,04,001,2025-10-03_09h16.01.881,Motor Sequential Learning,,2025.1.1,None,2025-10-03 09h16.22.197735 +0530,
-50,x,24,0,6,x,1,0.43882304200087674,None,6,0,24,0,,,,,59.447837790998165,,59.438560124996,59.447837790998165,60.436487540995586,60.436487540995586,60.436487540995586,60.436487540995586,60.44110029099102,61.436358124992694,61.436358124992694,61.88635866600089,x,1,0.43882304200087674,None,,,,,04,001,2025-10-03_09h16.01.881,Motor Sequential Learning,,2025.1.1,None,2025-10-03 09h16.22.197735 +0530,
150,v,25,1,6,v,1,0.6401792090036906,None,6,1,25,1,,,,,61.89029283299169,,61.88688416600053,61.89029283299169,62.87465866599814,62.87465866599814,62.87465866599814,62.87465866599814,62.88637845798803,63.87597837499925,63.87597837499925,64.52103162498679,v,1,0.6401792090036906,None,,,,,04,001,2025-10-03_09h16.01.881,Motor Sequential Learning,,2025.1.1,None,2025-10-03 09h16.22.197735 +0530,
50,c,26,2,6,c,1,0.5702172080054879,None,6,2,26,2,,,,,64.53099249998922,,64.52176158298971,64.53099249998922,65.51981808299024,65.51981808299024,65.51981808299024,65.51981808299024,65.5248108329979,66.5197320409934,66.5197320409934,67.09267008298775,c,1,0.5702172080054879,None,,,,,04,001,2025-10-03_09h16.01.881,Motor Sequential Learning,,2025.1.1,None,2025-10-03 09h16.22.197735 +0530,
-150,z,27,3,6,z,1,0.48968345900357235,None,6,3,27,3,,,,,67.10290487499151,,67.09331412499887,67.10290487499151,68.0913121659978,68.0913121659978,68.0913121659978,68.0913121659978,68.0913121659978,69.0863339159987,69.0863339159987,69.58805879099236,z,1,0.48968345900357235,None,,,,,04,001,2025-10-03_09h16.01.881,Motor Sequential Learning,,2025.1.1,None,2025-10-03 09h16.22.197735 +0530,
-50,x,28,0,7,x,1,0.33546116699289996,None,7,0,28,0,,,,,69.59843466599705,,69.58887804098777,69.59843466599705,70.5863625829952,70.5863625829952,70.5863625829952,70.5863625829952,70.59056849998888,71.58649149999837,71.58649149999837,71.92573412499041,x,1,0.33546116699289996,None,,,,,04,001,2025-10-03_09h16.01.881,Motor Sequential Learning,,2025.1.1,None,2025-10-03 09h16.22.197735 +0530,
150,v,29,1,7,v,1,0.3436138329998357,None,7,1,29,1,,,,,71.93556466599694,,71.92622858299,71.93556466599694,72.9246551249962,72.9246551249962,72.9246551249962,72.9246551249962,72.9246551249962,73.92532049999863,73.92532049999863,74.27109483299137,v,1,0.3436138329998357,None,,,,,04,001,2025-10-03_09h16.01.881,Motor Sequential Learning,,2025.1.1,None,2025-10-03 09h16.22.197735 +0530,
50,c,30,2,7,c,1,0.30230829199717846,None,7,2,30,2,,,,,74.2764991659933,,74.27192912499595,74.2764991659933,75.26968079099606,75.26968079099606,75.26968079099606,75.26968079099606,75.2745799159893,76.26960287499242,76.26960287499242,76.57683112499944,c,1,0.30230829199717846,None,,,,,04,001,2025-10-03_09h16.01.881,Motor Sequential Learning,,2025.1.1,None,2025-10-03 09h16.22.197735 +0530,
-150,z,31,3,7,z,1,0.5492577080003684,None,7,3,31,3,,,,,76.58650987499277,,76.57731212499493,76.58650987499277,77.57467091598664,77.57467091598664,77.57467091598664,77.57467091598664,77.57467091598664,78.57541562498955,78.57541562498955,79.12697545799892,z,1,0.5492577080003684,None,,,,,04,001,2025-10-03_09h16.01.881,Motor Sequential Learning,,2025.1.1,None,2025-10-03 09h16.22.197735 +0530,
