reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
72,155,34,0,0,0,t,2.6834289159742184,None,0,0,0,76,0.09523333300603554,,0.08772445796057582,0.09523333300603554,1.0010731249931268,1.0010731249931268,1.0896022910019383,3.8939121660077944,t,2.6834289159742184,None,p2,001,2025-10-31_16h14.29.838,Delay Discounting,,2025.1.1,None,2025-10-31 16h14.43.727191 +0530,
37,65,40,1,1,0,l,1.002558250038419,None,0,1,1,15,3.9083108750055544,,3.8981527909636497,3.9083108750055544,4.889521915989462,4.889521915989462,4.906143833009992,5.896598207997158,l,1.002558250038419,None,p2,001,2025-10-31_16h14.29.838,Delay Discounting,,2025.1.1,None,2025-10-31 16h14.43.727191 +0530,
28,56,12,2,2,0,t,1.0351212910027243,None,0,2,2,54,5.913044832996093,,5.90544941596454,5.913044832996093,6.895939124980941,6.895939124980941,6.906133125012275,7.941470624995418,t,1.0351212910027243,None,p2,001,2025-10-31_16h14.29.838,Delay Discounting,,2025.1.1,None,2025-10-31 16h14.43.727191 +0530,
90,200,43,3,3,0,l,0.9936904580099508,None,0,3,3,85,7.958214999991469,,7.950386249984149,7.958214999991469,8.939311457972508,8.939311457972508,8.955953166005202,9.94140295800753,l,0.9936904580099508,None,p2,001,2025-10-31_16h14.29.838,Delay Discounting,,2025.1.1,None,2025-10-31 16h14.43.727191 +0530,
40,80,18,4,4,0,t,0.688621208013501,None,0,4,4,60,9.956707249977626,,9.948410500015598,9.956707249977626,10.939311416004784,10.939311416004784,10.94482816598611,11.629960957972798,t,0.688621208013501,None,p2,001,2025-10-31_16h14.29.838,Delay Discounting,,2025.1.1,None,2025-10-31 16h14.43.727191 +0530,
11,30,7,5,5,0,t,1.0579253329779021,None,0,5,5,0,11.646595416008495,,11.637216083006933,11.646595416008495,12.630041582975537,12.630041582975537,12.63944141601678,13.691280041006394,t,1.0579253329779021,None,p2,001,2025-10-31_16h14.29.838,Delay Discounting,,2025.1.1,None,2025-10-31 16h14.43.727191 +0530,
70,150,33,6,6,0,l,0.7544752919930033,None,0,6,6,75,13.716301875014324,,13.697844915965106,13.716301875014324,14.689271832990926,14.689271832990926,14.711941082961857,15.445328874979168,l,0.7544752919930033,None,p2,001,2025-10-31_16h14.29.838,Delay Discounting,,2025.1.1,None,2025-10-31 16h14.43.727191 +0530,
60,84,85,7,7,0,t,0.5546554579632357,None,0,7,7,24,15.458859040983953,,15.45159595797304,15.458859040983953,16.446194374992047,16.446194374992047,16.456162832968403,17.00804079096997,t,0.5546554579632357,None,p2,001,2025-10-31_16h14.29.838,Delay Discounting,,2025.1.1,None,2025-10-31 16h14.43.727191 +0530,
98,155,180,8,8,0,t,1.0659874160191976,None,0,8,8,43,17.02346158301225,,17.01522900001146,17.02346158301225,18.0058449159842,18.0058449159842,18.011284290987533,19.074494583008345,t,1.0659874160191976,None,p2,001,2025-10-31_16h14.29.838,Delay Discounting,,2025.1.1,None,2025-10-31 16h14.43.727191 +0530,
62,86,90,9,9,0,t,0.7801602489780635,None,0,9,9,25,19.089438166003674,,19.081233915989287,19.089438166003674,20.072529207973275,20.072529207973275,20.078840625006706,20.857803124992643,t,0.7801602489780635,None,p2,001,2025-10-31_16h14.29.838,Delay Discounting,,2025.1.1,None,2025-10-31 16h14.43.727191 +0530,
52,105,24,10,10,0,l,1.1985467919730581,None,0,10,10,66,20.87304283300182,,20.864601208013482,20.87304283300182,21.856142000004184,21.856142000004184,21.86221937497612,23.058105666015763,l,1.1985467919730581,None,p2,001,2025-10-31_16h14.29.838,Delay Discounting,,2025.1.1,None,2025-10-31 16h14.43.727191 +0530,
112,255,54,11,11,0,t,0.9447474170010537,None,0,11,11,96,23.07387749996269,,23.065570415987168,23.07387749996269,24.05586979101645,24.05586979101645,24.072442791017238,25.007236458011903,t,0.9447474170010537,None,p2,001,2025-10-31_16h14.29.838,Delay Discounting,,2025.1.1,None,2025-10-31 16h14.43.727191 +0530,
20,38,12,12,12,0,t,2.35157016699668,None,0,12,12,9,25.022052290965803,,25.01379920798354,25.022052290965803,26.006000166002195,26.006000166002195,26.011942374985665,28.363038207986392,t,2.35157016699668,None,p2,001,2025-10-31_16h14.29.838,Delay Discounting,,2025.1.1,None,2025-10-31 16h14.43.727191 +0530,
46,92,21,13,13,0,t,0.8534114999929443,None,0,13,13,63,28.37726737500634,,28.369166790973395,28.37726737500634,29.363145374984015,29.363145374984015,29.372477416007314,30.22441245801747,t,0.8534114999929443,None,p2,001,2025-10-31_16h14.29.838,Delay Discounting,,2025.1.1,None,2025-10-31 16h14.43.727191 +0530,
72,96,115,14,14,0,t,0.7809001249843277,None,0,14,14,30,30.239468000014313,,30.23105108301388,30.239468000014313,31.222527707985137,31.222527707985137,31.228606457996648,32.00813475000905,t,0.7809001249843277,None,p2,001,2025-10-31_16h14.29.838,Delay Discounting,,2025.1.1,None,2025-10-31 16h14.43.727191 +0530,
100,160,185,15,15,0,t,1.3686026660143398,None,0,15,15,44,32.023897457984276,,32.01542316598352,32.023897457984276,33.00582554098219,33.00582554098219,33.02244937501382,34.37967837497126,t,1.3686026660143398,None,p2,001,2025-10-31_16h14.29.838,Delay Discounting,,2025.1.1,None,2025-10-31 16h14.43.727191 +0530,
92,205,44,16,16,0,l,1.1104195000370964,None,0,16,16,86,34.394781499984674,,34.38581045798492,34.394781499984674,35.37891425000271,35.37891425000271,35.38919729099143,36.49642929097172,l,1.1104195000370964,None,p2,001,2025-10-31_16h14.29.838,Delay Discounting,,2025.1.1,None,2025-10-31 16h14.43.727191 +0530,
110,250,53,17,17,0,l,0.7453707920503803,None,0,17,17,95,36.51171304099262,,36.50332362501649,36.51171304099262,37.496006582980044,37.496006582980044,37.505768749979325,38.24628391599981,l,0.7453707920503803,None,p2,001,2025-10-31_16h14.29.838,Delay Discounting,,2025.1.1,None,2025-10-31 16h14.43.727191 +0530,
114,260,55,18,18,0,l,0.7897305000224151,None,0,18,18,97,38.26036029099487,,38.252167415979784,38.26036029099487,39.245689624978695,39.245689624978695,39.25591174996225,40.04097724996973,l,0.7897305000224151,None,p2,001,2025-10-31_16h14.29.838,Delay Discounting,,2025.1.1,None,2025-10-31 16h14.43.727191 +0530,
28,48,20,19,19,0,t,1.1869472080143169,None,0,19,19,11,40.05760683299741,,40.04827887500869,40.05760683299741,41.03930079098791,41.03930079098791,41.05585645796964,42.22964079095982,t,1.1869472080143169,None,p2,001,2025-10-31_16h14.29.838,Delay Discounting,,2025.1.1,None,2025-10-31 16h14.43.727191 +0530,
34,68,15,20,20,0,t,0.9441818330087699,None,0,20,20,57,42.24429812497692,,42.235979666002095,42.24429812497692,43.22903858299833,43.22903858299833,43.2390247079893,44.179198916011956,t,0.9441818330087699,None,p2,001,2025-10-31_16h14.29.838,Delay Discounting,,2025.1.1,None,2025-10-31 16h14.43.727191 +0530,
45,72,55,21,21,0,t,1.3202193329925649,None,0,21,21,18,44.194448874972295,,44.186060291016474,44.194448874972295,45.17987745796563,45.17987745796563,45.18891708296724,46.50733512500301,t,1.3202193329925649,None,p2,001,2025-10-31_16h14.29.838,Delay Discounting,,2025.1.1,None,2025-10-31 16h14.43.727191 +0530,
102,230,49,22,22,0,l,0.8544064169982448,None,0,22,22,91,46.523269874975085,,46.514025625016075,46.523269874975085,47.50565445801476,47.50565445801476,47.511168457975145,48.362683165993076,l,0.8544064169982448,None,p2,001,2025-10-31_16h14.29.838,Delay Discounting,,2025.1.1,None,2025-10-31 16h14.43.727191 +0530,
76,165,36,23,23,0,l,1.275246957957279,None,0,23,23,78,48.378031708009075,,48.37000616599107,48.378031708009075,49.36185379099334,49.36185379099334,49.37228295800742,50.64086754096206,l,1.275246957957279,None,p2,001,2025-10-31_16h14.29.838,Delay Discounting,,2025.1.1,None,2025-10-31 16h14.43.727191 +0530,
12,25,5,24,24,0,l,0.8458625829662196,None,0,24,24,7,50.656710665964056,,50.647906915983185,50.656710665964056,51.63924799999222,51.63924799999222,51.64538191596512,52.49058545799926,l,0.8458625829662196,None,p2,001,2025-10-31_16h14.29.838,Delay Discounting,,2025.1.1,None,2025-10-31 16h14.43.727191 +0530,
