thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials.tilt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,up,0,5.874594500000967,None,1,0,0,0,0,0.026213790999463527,,0.02058437500090804,0.026213790999463527,1.010846582998056,1.0236922080002842,7.220857874999638,up,0,5.874594500000967,None,1,119019,001,2025-09-06_12h43.06.613,ORIENTATION DISCRIMINATION,,2025.1.1,None,2025-09-06 12h43.14.874120 +0530,
1,0,1,down,0,0.5172234169986041,None,0,1,0,1,0,7.404929749998701,,7.221056165999471,7.404929749998701,8.211676250000892,8.395062457999302,8.741453374997946,down,0,0.5172234169986041,None,0,119019,001,2025-09-06_12h43.06.613,ORIENTATION DISCRIMINATION,,2025.1.1,None,2025-09-06 12h43.14.874120 +0530,
2,0,2,down,0,3.785822123998514,None,0,2,0,2,0,8.753095290998317,,8.742058332998567,8.753095290998317,9.739994915998977,9.743765999999596,13.528406375000486,down,0,3.785822123998514,None,0,119019,001,2025-09-06_12h43.06.613,ORIENTATION DISCRIMINATION,,2025.1.1,None,2025-09-06 12h43.14.874120 +0530,
3,0,3,up,0,1.6333378329982224,None,-3,3,0,3,0,13.540123540999048,,13.528836416000559,13.540123540999048,14.523434374998033,14.527694790998794,16.162150832999032,up,0,1.6333378329982224,None,-3,119019,001,2025-09-06_12h43.06.613,ORIENTATION DISCRIMINATION,,2025.1.1,None,2025-09-06 12h43.14.874120 +0530,
4,0,4,down,1,0.6042948329995852,None,-3,4,0,4,0,16.180320625000604,,16.1625633750009,16.180320625000604,17.161497707998933,17.17822291599805,17.774406124997768,down,1,0.6042948329995852,None,-3,119019,001,2025-09-06_12h43.06.613,ORIENTATION DISCRIMINATION,,2025.1.1,None,2025-09-06 12h43.14.874120 +0530,
5,0,5,down,0,0.7964622079998662,None,0,5,0,5,0,17.78119245799826,,17.774902875000407,17.78119245799826,18.773339915998804,18.777695000000676,19.574632208001276,down,0,0.7964622079998662,None,0,119019,001,2025-09-06_12h43.06.613,ORIENTATION DISCRIMINATION,,2025.1.1,None,2025-09-06 12h43.14.874120 +0530,
6,0,6,up,1,0.45138650000080816,None,0,6,0,6,0,19.578928999999334,,19.575086165998073,19.578928999999334,20.57330387500042,20.577957207999134,21.028339000000415,up,1,0.45138650000080816,None,0,119019,001,2025-09-06_12h43.06.613,ORIENTATION DISCRIMINATION,,2025.1.1,None,2025-09-06 12h43.14.874120 +0530,
7,0,7,up,0,1.47318045800057,None,-2,7,0,7,0,21.03997299999901,,21.028755208000803,21.03997299999901,22.023436666000634,22.027916625000216,23.507925333000458,up,0,1.47318045800057,None,-2,119019,001,2025-09-06_12h43.06.613,ORIENTATION DISCRIMINATION,,2025.1.1,None,2025-09-06 12h43.14.874120 +0530,
8,0,8,down,1,1.7670306250001886,None,-2,8,0,8,0,23.514902540999174,,23.508569624998927,23.514902540999174,24.50654829099949,24.510879082998144,26.279023540999333,down,1,1.7670306250001886,None,-2,119019,001,2025-09-06_12h43.06.613,ORIENTATION DISCRIMINATION,,2025.1.1,None,2025-09-06 12h43.14.874120 +0530,
9,0,9,up,0,1.0019356249977136,None,1,9,0,9,0,26.289890457999718,,26.279436041000736,26.289890457999718,27.277579124998738,27.277579124998738,28.29112129100031,up,0,1.0019356249977136,None,1,119019,001,2025-09-06_12h43.06.613,ORIENTATION DISCRIMINATION,,2025.1.1,None,2025-09-06 12h43.14.874120 +0530,
