stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,2,10.0,0.03727333399001509,,0.022914291999768466,0.03727333399001509,0.4997872090025339,0.4997872090025339,0.5223500419961056,0.7903102089912863,1.1308667919947766,right,10.0,1,1,0.4302419170126086,711727,001,2025-09-02_11h25.38.848,adaptive_staircase,,2025.1.1,None,2025-09-02 11h25.42.079798 +0530,
1,2,8.0,1.1563809590006713,,1.1310208749928279,1.1563809590006713,1.6252821249945555,1.6252821249945555,1.6534792089951225,1.9203878749976866,2.272171459000674,left,-8.0,1,1,0.6388487499934854,711727,001,2025-09-02_11h25.38.848,adaptive_staircase,,2025.1.1,None,2025-09-02 11h25.42.079798 +0530,
2,2,6.0,2.2810333340021316,,2.272634124994511,2.2810333340021316,2.770320041992818,2.770320041992818,2.77447299999767,3.0582367919996614,3.2429223749932135,right,6.0,1,1,0.46758995798882097,711727,001,2025-09-02_11h25.38.848,adaptive_staircase,,2025.1.1,None,2025-09-02 11h25.42.079798 +0530,
3,2,4.0,3.2531254999921657,,3.243176499992842,3.2531254999921657,3.7417872499936493,3.7417872499936493,3.7417872499936493,4.040304875001311,4.271937124998658,left,-4.0,1,1,0.517067833992769,711727,001,2025-09-02_11h25.38.848,adaptive_staircase,,2025.1.1,None,2025-09-02 11h25.42.079798 +0530,
4,2,2.0,4.279409916998702,,4.272320249991026,4.279409916998702,4.770235374991898,4.770235374991898,4.774069334001979,5.057624624998425,5.322257291991264,left,-2.0,1,1,0.5396282500005327,711727,001,2025-09-02_11h25.38.848,adaptive_staircase,,2025.1.1,None,2025-09-02 11h25.42.079798 +0530,
5,2,1.0,5.342749208997702,,5.322768958998495,5.342749208997702,5.820203208990279,5.820203208990279,5.840428166993661,6.106732583997655,6.3220754170033615,left,-1.0,1,1,0.4987333749886602,711727,001,2025-09-02_11h25.38.848,adaptive_staircase,,2025.1.1,None,2025-09-02 11h25.42.079798 +0530,
6,2,1.0,6.329754124992178,,6.3225495840015355,6.329754124992178,6.82032920900383,6.82032920900383,6.825068541991641,7.107487499990384,7.621775749998051,left,-1.0,1,1,0.7917638749931939,711727,001,2025-09-02_11h25.38.848,adaptive_staircase,,2025.1.1,None,2025-09-02 11h25.42.079798 +0530,
7,2,1.0,7.629047041991726,,7.622118999992381,7.629047041991726,8.120341417001327,8.120341417001327,8.125419124990003,8.407681999990018,8.624677999992855,right,1.0,1,1,0.5015467080083909,711727,001,2025-09-02_11h25.38.848,adaptive_staircase,,2025.1.1,None,2025-09-02 11h25.42.079798 +0530,
8,2,1.0,8.636866166998516,,8.624955874998705,8.636866166998516,9.120020333997672,9.120020333997672,9.123033208990819,9.407053959002951,9.721882249999908,right,1.0,1,1,0.5879401660058647,711727,001,2025-09-02_11h25.38.848,adaptive_staircase,,2025.1.1,None,2025-09-02 11h25.42.079798 +0530,
9,2,1.0,9.73003287499887,,9.722275499996613,9.73003287499887,10.220059041996137,10.220059041996137,10.223864583997056,10.506612375000259,10.772049666993553,right,1.0,1,1,0.5437993340019602,711727,001,2025-09-02_11h25.38.848,adaptive_staircase,,2025.1.1,None,2025-09-02 11h25.42.079798 +0530,
10,2,1.0,10.780238666993682,,10.772423749993322,10.780238666993682,11.270156667000265,11.270156667000265,11.273922334003146,11.556991958990693,11.872233125002822,left,-1.0,1,1,0.5917710419889772,711727,001,2025-09-02_11h25.38.848,adaptive_staircase,,2025.1.1,None,2025-09-02 11h25.42.079798 +0530,
11,2,1.0,11.880247791996226,,11.872615458996734,11.880247791996226,12.369955499991192,12.369955499991192,12.37453270900005,12.657100333992275,12.939231583994115,left,-1.0,1,1,0.5668705419957405,711727,001,2025-09-02_11h25.38.848,adaptive_staircase,,2025.1.1,None,2025-09-02 11h25.42.079798 +0530,
12,2,1.0,12.947938792000059,,12.939689291990362,12.947938792000059,13.436947041991516,13.436947041991516,13.441327541993815,13.724092916992959,14.060058417002438,right,1.0,1,1,0.6167927500064252,711727,001,2025-09-02_11h25.38.848,adaptive_staircase,,2025.1.1,None,2025-09-02 11h25.42.079798 +0530,
13,2,1.0,14.070018874990637,,14.060336624999763,14.070018874990637,14.557956666991231,14.557956666991231,14.557956666991231,14.853530416992726,15.075015291993623,left,-1.0,1,1,0.5148044170055073,711727,001,2025-09-02_11h25.38.848,adaptive_staircase,,2025.1.1,None,2025-09-02 11h25.42.079798 +0530,
14,1,1.0,15.086942958994769,,15.075283333993866,15.086942958994769,15.574149084000965,15.574149084000965,15.574149084000965,15.870223124991753,16.072245417002705,left,-1.0,0,0,0.493614457998774,711727,001,2025-09-02_11h25.38.848,adaptive_staircase,,2025.1.1,None,2025-09-02 11h25.42.079798 +0530,
15,1,2.0,16.080951333991834,,16.072699917000136,16.080951333991834,16.570120709002367,16.570120709002367,16.573852583998814,16.85730637499364,17.08823558400036,left,-2.0,1,1,0.5095312079938594,711727,001,2025-09-02_11h25.38.848,adaptive_staircase,,2025.1.1,None,2025-09-02 11h25.42.079798 +0530,
16,1,2.0,17.09635766700376,,17.08857008400082,17.09635766700376,17.586679166997783,17.586679166997783,17.590127083996776,17.87378045899095,18.121758041990688,right,2.0,1,1,0.5320119589887327,711727,001,2025-09-02_11h25.38.848,adaptive_staircase,,2025.1.1,None,2025-09-02 11h25.42.079798 +0530,
17,1,2.0,18.13073954200081,,18.122171916998923,18.13073954200081,18.62021999999706,18.62021999999706,18.624603374992148,18.90665325000009,19.205025458999444,left,-2.0,1,1,0.572441666998202,711727,001,2025-09-02_11h25.38.848,adaptive_staircase,,2025.1.1,None,2025-09-02 11h25.42.079798 +0530,
18,1,1.0,19.21345549999387,,19.205444459003047,19.21345549999387,19.703409041991108,19.703409041991108,19.707218541996554,19.99026262499683,20.455089958995814,right,1.0,1,1,0.7370730830007233,711727,001,2025-09-02_11h25.38.848,adaptive_staircase,,2025.1.1,None,2025-09-02 11h25.42.079798 +0530,
19,1,1.0,20.4633795839909,,20.45546212499903,20.4633795839909,20.95331504200294,20.95331504200294,20.956690291990526,21.239585542003624,21.93841445900034,right,1.0,1,1,0.9750811249978142,711727,001,2025-09-02_11h25.38.848,adaptive_staircase,,2025.1.1,None,2025-09-02 11h25.42.079798 +0530,
20,1,1.0,21.946833916998003,,21.938764708989765,21.946833916998003,22.437001208993024,22.437001208993024,22.442057499996736,22.72355145899928,23.090974958991865,right,1.0,1,1,0.6505013330024667,711727,001,2025-09-02_11h25.38.848,adaptive_staircase,,2025.1.1,None,2025-09-02 11h25.42.079798 +0530,
21,1,1.0,23.103509499997017,,23.0912352919986,23.103509499997017,23.59121649998997,23.59121649998997,23.59121649998997,23.889868375001242,24.34125425000093,left,-1.0,1,1,0.7463666250114329,711727,001,2025-09-02_11h25.38.848,adaptive_staircase,,2025.1.1,None,2025-09-02 11h25.42.079798 +0530,
22,1,1.0,24.35349475000112,,24.34150924999267,24.35349475000112,24.836584834003588,24.836584834003588,24.840339834001497,25.12424312499934,25.505164624992176,right,1.0,1,1,0.6649568330030888,711727,001,2025-09-02_11h25.38.848,adaptive_staircase,,2025.1.1,None,2025-09-02 11h25.42.079798 +0530,
23,1,1.0,25.509718916990096,,25.505644749995554,25.509718916990096,26.00350387499202,26.00350387499202,26.007893791989773,26.289860208999016,26.705479166994337,right,1.0,1,1,0.6969876250077505,711727,001,2025-09-02_11h25.38.848,adaptive_staircase,,2025.1.1,None,2025-09-02 11h25.42.079798 +0530,
24,1,1.0,26.71388987499813,,26.705956249992596,26.71388987499813,27.20334616699256,27.20334616699256,27.207506334001664,27.490584958999534,27.83869970899832,left,-1.0,1,1,0.6267934589996003,711727,001,2025-09-02_11h25.38.848,adaptive_staircase,,2025.1.1,None,2025-09-02 11h25.42.079798 +0530,
25,1,1.0,27.847135124990018,,27.839100666999002,27.847135124990018,28.336617334003677,28.336617334003677,28.34076183399884,28.62301591699361,29.274552791990573,left,-1.0,1,1,0.9367869160050759,711727,001,2025-09-02_11h25.38.848,adaptive_staircase,,2025.1.1,None,2025-09-02 11h25.42.079798 +0530,
26,1,1.0,29.28667212500295,,29.274807750000036,29.28667212500295,29.775933625001926,29.775933625001926,29.775933625001926,30.073472791991662,30.604854042001534,left,-1.0,1,1,0.8153514169971459,711727,001,2025-09-02_11h25.38.848,adaptive_staircase,,2025.1.1,None,2025-09-02 11h25.42.079798 +0530,
27,1,1.0,30.612358166996273,,30.605213083996205,30.612358166996273,31.10326408399851,31.10326408399851,31.107276666996768,31.389938416992663,31.77160045900382,right,1.0,1,1,0.6541328340099426,711727,001,2025-09-02_11h25.38.848,adaptive_staircase,,2025.1.1,None,2025-09-02 11h25.42.079798 +0530,
