22.1930 	INFO 	Loaded monitor calibration from ['2025_08_12 08:00']
22.3956 	INFO 	Using renderer 'Apple M2' for graphics
22.3956 	INFO 	OpenGL version supported by driver is 2..
22.4184 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x14b9157e0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x14b915780>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=False, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x14bafb670>, multiSample=False, name='window1', numSamples=2, pos=[np.float64(235.0), np.float64(178.0)], screen=0, size=array([2000, 1200]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
22.4184 	EXP 	window1: backgroundImage = ''
22.4184 	EXP 	window1: backgroundFit = 'none'
22.9473 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
22.9474 	EXP 	window1: recordFrameIntervals = False
23.1691 	EXP 	window1: recordFrameIntervals = True
23.6248 	DATA 	Mouse: wheel shift=(0,0), pos=(757,222)
23.6426 	DATA 	Mouse: wheel shift=(0,0), pos=(757,222)
23.6596 	DATA 	Mouse: wheel shift=(0,0), pos=(757,222)
23.6721 	DATA 	Mouse: wheel shift=(0,0), pos=(757,222)
23.6888 	DATA 	Mouse: wheel shift=(0,0), pos=(757,222)
23.7058 	DATA 	Mouse: wheel shift=(0,0), pos=(757,222)
23.7061 	DATA 	Mouse: wheel shift=(0,0), pos=(757,222)
23.7221 	DATA 	Mouse: wheel shift=(0,0), pos=(757,222)
23.7388 	DATA 	Mouse: wheel shift=(0,0), pos=(757,222)
23.7553 	DATA 	Mouse: wheel shift=(0,0), pos=(757,222)
23.7722 	DATA 	Mouse: wheel shift=(0,0), pos=(757,222)
23.7888 	DATA 	Mouse: wheel shift=(0,0), pos=(757,222)
23.8055 	DATA 	Mouse: wheel shift=(0,0), pos=(757,222)
23.8221 	DATA 	Mouse: wheel shift=(0,1), pos=(757,222)
23.8388 	DATA 	Mouse: wheel shift=(0,0), pos=(757,222)
23.8555 	DATA 	Mouse: wheel shift=(0,0), pos=(757,222)
23.8721 	DATA 	Mouse: wheel shift=(0,0), pos=(757,222)
23.8888 	DATA 	Mouse: wheel shift=(0,0), pos=(757,222)
23.9055 	DATA 	Mouse: wheel shift=(0,1), pos=(757,222)
23.9221 	DATA 	Mouse: wheel shift=(0,0), pos=(757,222)
23.9387 	DATA 	Mouse: wheel shift=(0,0), pos=(757,222)
23.9557 	DATA 	Mouse: wheel shift=(0,0), pos=(757,222)
23.9728 	DATA 	Mouse: wheel shift=(0,0), pos=(757,222)
23.9899 	DATA 	Mouse: wheel shift=(0,0), pos=(757,222)
24.0029 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

25.0456 	INFO 	keyboard.Keyboard is using ptb backend.
25.3867 	INFO 	keyboard.Keyboard is using ptb backend.
25.3868 	EXP 	adaptive_staircase: status = STARTED
