reward_today,future_reward,delay
11,30,7
15,35,13
27,50,21
40,55,62
49,60,89
67,75,119
78,80,162
12,25,5
18,32,9
20,38,12
25,45,16
28,48,20
30,52,25
33,55,30
35,60,35
37,65,40
39,68,45
42,70,50
45,72,55
47,74,60
50,76,65
53,78,70
55,80,75
58,82,80
60,84,85
62,86,90
64,88,95
66,90,100
68,92,105
70,94,110
72,96,115
74,98,120
76,100,125
78,105,130
80,110,135
82,115,140
84,120,145
86,125,150
88,130,155
90,135,160
92,140,165
94,145,170
96,150,175
98,155,180
100,160,185
10,20,3
12,24,4
14,28,5
16,32,6
18,36,7
20,40,8
22,44,9
24,48,10
26,52,11
28,56,12
30,60,13
32,64,14
34,68,15
36,72,16
38,76,17
40,80,18
42,84,19
44,88,20
46,92,21
48,96,22
50,100,23
52,105,24
54,110,25
56,115,26
58,120,27
60,125,28
62,130,29
64,135,30
66,140,31
68,145,32
70,150,33
72,155,34
74,160,35
76,165,36
78,170,37
80,175,38
82,180,39
84,185,40
86,190,41
88,195,42
90,200,43
92,205,44
94,210,45
96,215,46
98,220,47
100,225,48
102,230,49
104,235,50
106,240,51
108,245,52
110,250,53
112,255,54
114,260,55
116,265,56
118,270,57
