Study_word,thisN,thisTrialN,thisRepN,test_word,Reference,old_new,test_textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,StudyText.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,TestText.started,test_textbox.started,submit_text.started,mouse.started,test.stopped,trials_2.test_textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,TestText.stopped,test_textbox.stopped,submit_text.stopped,mouse.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
marble,0,0,0,bo_t_e,bottle,new,bottle,[np.float64(0.0075)],[np.float64(-0.3175)],[1],[0],[0],[8.621058916993206],['submit_text'],0,14,14,3,0,0,0,18,29.027250291983364,,26.795135791995563,26.803415707981912,26.803415707981912,29.011516166996444,2.04,2.2097695419797674,29.01843870797893,29.027250291983364,29.027250291983364,29.027250291983364,0.006926333997398615,37.639698874991154,bottle,[np.float64(0.0075)],[np.float64(-0.3175)],[1],[0],[0],[8.621058916993206],['submit_text'],,,,,DA,001,2025-10-09_12h18.03.496,Word Priming Experiment,,2025.1.1,None,2025-10-09 12h18.12.315269 +0530,
,1,1,0,p_li_e,police,old,police,[np.float64(-0.01375)],[np.float64(-0.30625)],[1],[0],[0],[5.385729707981227],['submit_text'],,,,,0,1,1,7,37.65050191699993,,,,,,,,37.642358791985316,37.65050191699993,37.65050191699993,37.65050191699993,0.0024772089964244515,43.028293582989136,police,[np.float64(-0.01375)],[np.float64(-0.30625)],[1],[0],[0],[5.385729707981227],['submit_text'],,,,,DA,001,2025-10-09_12h18.03.496,Word Priming Experiment,,2025.1.1,None,2025-10-09 12h18.12.315269 +0530,
,2,2,0,c_m_ra,camera,new,camera,[np.float64(0.00375)],[np.float64(-0.29625)],[1],[0],[0],[4.513587583991466],['submit_text'],,,,,0,2,2,19,43.040818249981385,,,,,,,,43.03075187499053,43.040818249981385,43.040818249981385,43.040818249981385,0.0023439580108970404,47.544532542000525,camera,[np.float64(0.00375)],[np.float64(-0.29625)],[1],[0],[0],[4.513587583991466],['submit_text'],,,,,DA,001,2025-10-09_12h18.03.496,Word Priming Experiment,,2025.1.1,None,2025-10-09 12h18.12.315269 +0530,
,3,3,0,_o_se,mouse,old,,[np.float64(-0.00625)],[np.float64(-0.31375)],[1],[0],[0],[1.098237792000873],['submit_text'],,,,,0,3,3,3,47.57075545800035,,,,,,,,47.54672329197638,47.57075545800035,47.57075545800035,47.57075545800035,0.0020983330032322556,48.645142666995525,,[np.float64(-0.00625)],[np.float64(-0.31375)],[1],[0],[0],[1.098237792000873],['submit_text'],,,,,DA,001,2025-10-09_12h18.03.496,Word Priming Experiment,,2025.1.1,None,2025-10-09 12h18.12.315269 +0530,
,4,4,0,c_s_io_,cushion,old,cushion,[],[],[],[],[],[],[],,,,,0,4,4,14,48.65432254198822,,,,,,,,48.64691687497543,48.65432254198822,48.65432254198822,48.65432254198822,0.00169500001356937,58.63753754197387,cushion,[],[],[],[],[],[],[],58.64705058297841,58.64705058297841,58.64705058297841,9.992153458006214,DA,001,2025-10-09_12h18.03.496,Word Priming Experiment,,2025.1.1,None,2025-10-09 12h18.12.315269 +0530,
,5,5,0,_o_rd,board,old,board,[np.float64(-0.0275)],[np.float64(-0.3025)],[1],[0],[0],[6.891813166992506],['submit_text'],,,,,0,5,5,10,58.64705058297841,,,,,,,,58.63954358297633,58.64705058297841,58.64705058297841,58.64705058297841,0.0018881249998230487,65.53906774998177,board,[np.float64(-0.0275)],[np.float64(-0.3025)],[1],[0],[0],[6.891813166992506],['submit_text'],,,,,DA,001,2025-10-09_12h18.03.496,Word Priming Experiment,,2025.1.1,None,2025-10-09 12h18.12.315269 +0530,
,6,6,0,_ruis_,cruise,old,cruise,[np.float64(-0.0275)],[np.float64(-0.305)],[1],[0],[0],[4.680391583999153],['submit_text'],,,,,0,6,6,6,65.54973162498209,,,,,,,,65.54161983297672,65.54973162498209,65.54973162498209,65.54973162498209,0.002429459011182189,70.22222741699079,cruise,[np.float64(-0.0275)],[np.float64(-0.305)],[1],[0],[0],[4.680391583999153],['submit_text'],,,,,DA,001,2025-10-09_12h18.03.496,Word Priming Experiment,,2025.1.1,None,2025-10-09 12h18.12.315269 +0530,
,7,7,0,v_s_,vase,new,,[],[],[],[],[],[],[],,,,,0,7,7,17,70.23346487499657,,,,,,,,70.22521274999599,70.23346487499657,70.23346487499657,70.23346487499657,0.0028725409938488156,80.22067904198775,,[],[],[],[],[],[],[],80.22898533300031,80.22898533300031,80.22898533300031,9.99818658301956,DA,001,2025-10-09_12h18.03.496,Word Priming Experiment,,2025.1.1,None,2025-10-09 12h18.12.315269 +0530,
,8,8,0,c_s_,case,old,case,[np.float64(-0.0275)],[np.float64(-0.305)],[1],[0],[0],[2.9881427920190617],['submit_text'],,,,,0,8,8,5,80.22898533300031,,,,,,,,80.22225191697362,80.22898533300031,80.22898533300031,80.22898533300031,-9.470898658037186e-05,83.21059412497561,case,[np.float64(-0.0275)],[np.float64(-0.305)],[1],[0],[0],[2.9881427920190617],['submit_text'],,,,,DA,001,2025-10-09_12h18.03.496,Word Priming Experiment,,2025.1.1,None,2025-10-09 12h18.12.315269 +0530,
,9,9,0,t_hi_t,t-shirt,old,t shirt,"[np.float64(-0.02375), np.float64(-0.02375)]","[np.float64(-0.33125), np.float64(-0.30625)]","[1, 1]","[0, 0]","[0, 0]","[5.130613082990749, 6.314017957978649]","[None, 'submit_text']",,,,,0,9,9,2,83.22079345799284,,,,,,,,83.21275445798528,83.22079345799284,83.22079345799284,83.22079345799284,0.002067749999696389,89.52698054199573,t shirt,"[np.float64(-0.02375), np.float64(-0.02375)]","[np.float64(-0.33125), np.float64(-0.30625)]","[1, 1]","[0, 0]","[0, 0]","[5.130613082990749, 6.314017957978649]","[None, 'submit_text']",,,,,DA,001,2025-10-09_12h18.03.496,Word Priming Experiment,,2025.1.1,None,2025-10-09 12h18.12.315269 +0530,
