image_name,condition,thisN,thisTrialN,thisRepN,mouse_resp.x,mouse_resp.y,mouse_resp.leftButton,mouse_resp.midButton,mouse_resp.rightButton,mouse_resp.time,mouse_resp.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro_instructions.started,text_2.started,key_resp.started,intro_instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,fixation.started,stim_image.started,fixation.stopped,text.started,remember_box.started,familiar_box.started,forgotten_box.started,remember_text.started,familiar_text.started,forgotten_text.started,stim_image.stopped,mouse_resp.started,trial.stopped,response_label,response_code,trials.mouse_resp.x,trials.mouse_resp.y,trials.mouse_resp.leftButton,trials.mouse_resp.midButton,trials.mouse_resp.rightButton,trials.mouse_resp.time,trials.mouse_resp.clicked_name,end_thanks.started,thanks.started,thanks.stopped,end_thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.011005916981957853,0.3668507089605555,0.3668507089605555,11.592550124973059,space,11.216904832050204,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,fazila,001,2025-11-13_12h33.20.674,Phase 2 Canli Replication,,2025.1.1,None,2025-11-13 12h33.42.166028 +0530,
Dirt 1.jpg,old,0,0,0,[np.float64(0.26569037656903766)],[np.float64(-0.2625523012552301)],[1],[0],[0],[5.547934457892552],['forgotten_box'],0,0,0,37,11.700166458962485,,,,,,,,,11.663794333930127,11.700166458962485,12.61059308401309,12.695074458955787,15.632544209016487,15.632544209016487,15.632544209016487,15.632544209016487,15.632544209016487,15.632544209016487,15.632544209016487,15.640359167009592,4.0400796670001,21.180858958978206,Forgotten,1,[np.float64(0.26569037656903766)],[np.float64(-0.2625523012552301)],[1],[0],[0],[5.547934457892552],['forgotten_box'],,,,,fazila,001,2025-11-13_12h33.20.674,Phase 2 Canli Replication,,2025.1.1,None,2025-11-13 12h33.42.166028 +0530,
Snake 4.jpg,new,1,1,0,[np.float64(0.348326359832636)],[np.float64(-0.28870292887029286)],[1],[0],[0],[9.918724792078137],['forgotten_box'],0,1,1,61,21.500394125003368,,,,,,,,,21.49632074998226,21.500394125003368,22.48015650000889,22.497237666975707,25.48446766694542,25.48446766694542,25.48446766694542,25.48446766694542,25.48446766694542,25.48446766694542,25.48446766694542,25.474511249922216,4.022372749983333,35.427005416946486,Forgotten,1,[np.float64(0.348326359832636)],[np.float64(-0.28870292887029286)],[1],[0],[0],[9.918724792078137],['forgotten_box'],,,,,fazila,001,2025-11-13_12h33.20.674,Phase 2 Canli Replication,,2025.1.1,None,2025-11-13 12h33.42.166028 +0530,
Car 1.jpg,old,2,2,0,[np.float64(-0.06485355648535565)],[np.float64(-0.28661087866108786)],[1],[0],[0],[5.814132916973904],['familiar_box'],0,2,2,23,35.7442409589421,,,,,,,,,35.74031291692518,35.7442409589421,36.73083112493623,36.741209500003606,39.73308441694826,39.73308441694826,39.73308441694826,39.73308441694826,39.73308441694826,39.73308441694826,39.73308441694826,39.724662584019825,4.001612332998775,45.547568375011906,Familiar,2,[np.float64(-0.06485355648535565)],[np.float64(-0.28661087866108786)],[1],[0],[0],[5.814132916973904],['familiar_box'],,,,,fazila,001,2025-11-13_12h33.20.674,Phase 2 Canli Replication,,2025.1.1,None,2025-11-13 12h33.42.166028 +0530,
Feces 1.jpg,new,3,3,0,[np.float64(0.24476987447698745)],[np.float64(-0.2918410041841004)],[1],[0],[0],[1.393227958935313],['forgotten_box'],0,3,3,55,45.8706714999862,,,,,,,,,45.86657141696196,45.8706714999862,46.84604995895643,46.86135295894928,49.8490018339362,49.8490018339362,49.8490018339362,49.8490018339362,49.8490018339362,49.8490018339362,49.8490018339362,49.8490018339362,4.0054663750343025,51.25689604203217,Forgotten,1,[np.float64(0.24476987447698745)],[np.float64(-0.2918410041841004)],[1],[0],[0],[1.393227958935313],['forgotten_box'],,,,,fazila,001,2025-11-13_12h33.20.674,Phase 2 Canli Replication,,2025.1.1,None,2025-11-13 12h33.42.166028 +0530,
Alcohol 6.jpg,old,4,4,0,[np.float64(-0.29811715481171547)],[np.float64(-0.28765690376569036)],[1],[0],[0],[1.9618837089510635],['remember_box'],0,4,4,19,51.57150650001131,,,,,,,,,51.567523791920394,51.57150650001131,52.55778570892289,52.56186691694893,55.55745612492319,55.55745612492319,55.55745612492319,55.55745612492319,55.55745612492319,55.55745612492319,55.55745612492319,55.54452091699932,4.003266458050348,57.52609662502073,Remembered,3,[np.float64(-0.29811715481171547)],[np.float64(-0.28765690376569036)],[1],[0],[0],[1.9618837089510635],['remember_box'],,,,,fazila,001,2025-11-13_12h33.20.674,Phase 2 Canli Replication,,2025.1.1,None,2025-11-13 12h33.42.166028 +0530,
Pig 2.jpg,old,5,5,0,[np.float64(-0.3577405857740586)],[np.float64(-0.2939330543933054)],[1],[0],[0],[1.5261862080078572],['remember_box'],0,5,5,32,57.844027834013104,,,,,,,,,57.839916958939284,57.844027834013104,58.83185070892796,58.8411242919974,61.82361512503121,61.82361512503121,61.82361512503121,61.82361512503121,61.82361512503121,61.82361512503121,61.82361512503121,61.83145383396186,4.000213125022128,63.35798133397475,Remembered,3,[np.float64(-0.3577405857740586)],[np.float64(-0.2939330543933054)],[1],[0],[0],[1.5261862080078572],['remember_box'],,,,,fazila,001,2025-11-13_12h33.20.674,Phase 2 Canli Replication,,2025.1.1,None,2025-11-13 12h33.42.166028 +0530,
Gazing 2.jpg,old,6,6,0,[np.float64(-0.3723849372384937)],[np.float64(-0.29811715481171547)],[1],[0],[0],[1.0994332500267774],['remember_box'],0,6,6,10,63.67206929193344,,,,,,,,,63.667829583981074,63.67206929193344,64.65765370894223,64.66322012501769,67.6660233750008,67.6660233750008,67.6660233750008,67.6660233750008,67.6660233750008,67.6660233750008,67.6660233750008,67.64403516694438,4.004138334072195,68.76588070893195,Remembered,3,[np.float64(-0.3723849372384937)],[np.float64(-0.29811715481171547)],[1],[0],[0],[1.0994332500267774],['remember_box'],,,,,fazila,001,2025-11-13_12h33.20.674,Phase 2 Canli Replication,,2025.1.1,None,2025-11-13 12h33.42.166028 +0530,
Lion 1.jpg,new,7,7,0,[np.float64(-0.33263598326359833)],[np.float64(-0.26359832635983266)],[1],[0],[0],[0.6464574999408796],['remember_box'],0,7,7,65,69.08692579192575,,,,,,,,,69.08292333397549,69.08692579192575,70.06380820902996,70.07877495896537,73.06588566699065,73.06588566699065,73.06588566699065,73.06588566699065,73.06588566699065,73.06588566699065,73.06588566699065,73.06588566699065,4.0054648329969496,73.72660962492228,Remembered,3,[np.float64(-0.33263598326359833)],[np.float64(-0.26359832635983266)],[1],[0],[0],[0.6464574999408796],['remember_box'],,,,,fazila,001,2025-11-13_12h33.20.674,Phase 2 Canli Replication,,2025.1.1,None,2025-11-13 12h33.42.166028 +0530,
Cold 6,new,8,8,0,[np.float64(0.25732217573221755)],[np.float64(-0.28661087866108786)],[1],[0],[0],[2.0646604580106214],['forgotten_box'],0,8,8,52,74.04265779198613,,,,,,,,,74.03867670893669,74.04265779198613,75.03162920894101,75.04057424992789,78.03268462501,78.03268462501,78.03268462501,78.03268462501,78.03268462501,78.03268462501,78.03268462501,78.03268462501,4.001163041917607,80.09779387502931,Forgotten,1,[np.float64(0.25732217573221755)],[np.float64(-0.28661087866108786)],[1],[0],[0],[2.0646604580106214],['forgotten_box'],,,,,fazila,001,2025-11-13_12h33.20.674,Phase 2 Canli Replication,,2025.1.1,None,2025-11-13 12h33.42.166028 +0530,
Rafting 6.jpg,old,9,9,0,[np.float64(-0.24790794979079497)],[np.float64(-0.2834728033472803)],[1],[0],[0],[0.9254782909993082],['remember_box'],0,9,9,9,80.42067595897242,,,,,,,,,80.41671887494158,80.42067595897242,81.39788137492724,81.41193750000093,84.40015262493398,84.40015262493398,84.40015262493398,84.40015262493398,84.40015262493398,84.40015262493398,84.40015262493398,84.40015262493398,3.999950625002384,85.33311954198871,Remembered,3,[np.float64(-0.24790794979079497)],[np.float64(-0.2834728033472803)],[1],[0],[0],[0.9254782909993082],['remember_box'],,,,,fazila,001,2025-11-13_12h33.20.674,Phase 2 Canli Replication,,2025.1.1,None,2025-11-13 12h33.42.166028 +0530,
Horse racing 1.jpg,new,10,10,0,[np.float64(0.28451882845188287)],[np.float64(-0.25418410041841005)],[1],[0],[0],[1.0222846659598872],['forgotten_box'],0,10,10,63,85.65170108398888,,,,,,,,,85.6478879590286,85.65170108398888,86.63112587493379,86.64425341703463,89.632606166997,89.632606166997,89.632606166997,89.632606166997,89.632606166997,89.632606166997,89.632606166997,89.632606166997,4.000763250049204,90.66271920897998,Forgotten,1,[np.float64(0.28451882845188287)],[np.float64(-0.25418410041841005)],[1],[0],[0],[1.0222846659598872],['forgotten_box'],,,,,fazila,001,2025-11-13_12h33.20.674,Phase 2 Canli Replication,,2025.1.1,None,2025-11-13 12h33.42.166028 +0530,
Band 1.jpg,old,11,11,0,[np.float64(-0.2792887029288703)],[np.float64(-0.28765690376569036)],[1],[0],[0],[1.5858970830449834],['remember_box'],0,11,11,8,90.98649387492333,,,,,,,,,90.98252266691998,90.98649387492333,91.96425087493844,91.97962429199833,94.96512812492438,94.96512812492438,94.96512812492438,94.96512812492438,94.96512812492438,94.96512812492438,94.96512812492438,94.96512812492438,4.005299124983139,96.56547012494411,Remembered,3,[np.float64(-0.2792887029288703)],[np.float64(-0.28765690376569036)],[1],[0],[0],[1.5858970830449834],['remember_box'],,,,,fazila,001,2025-11-13_12h33.20.674,Phase 2 Canli Replication,,2025.1.1,None,2025-11-13 12h33.42.166028 +0530,
Rocks 1.jpg,new,12,12,0,[np.float64(0.2824267782426778)],[np.float64(-0.34518828451882844)],[1],[0],[0],[1.553042083978653],['forgotten_box'],0,12,12,58,96.88591562502552,,,,,,,,,96.881929541938,96.88591562502552,97.86361433402635,97.87846483394969,100.8652077090228,100.8652077090228,100.8652077090228,100.8652077090228,100.8652077090228,100.8652077090228,100.8652077090228,100.8569698339561,3.9992240839637816,102.42640366696287,Forgotten,1,[np.float64(0.2824267782426778)],[np.float64(-0.34518828451882844)],[1],[0],[0],[1.553042083978653],['forgotten_box'],,,,,fazila,001,2025-11-13_12h33.20.674,Phase 2 Canli Replication,,2025.1.1,None,2025-11-13 12h33.42.166028 +0530,
Bear 2.jpg,old,13,13,0,[np.float64(-0.27405857740585776)],[np.float64(-0.27510460251046026)],[1],[0],[0],[0.8441050000255927],['remember_box'],0,13,13,31,102.74247562501114,,,,,,,,,102.73850262502674,102.74247562501114,103.7239459590055,103.7408713339828,106.73244687495753,106.73244687495753,106.73244687495753,106.73244687495753,106.73244687495753,106.73244687495753,106.73244687495753,106.71178287500516,4.001664333976805,107.57702916697599,Remembered,3,[np.float64(-0.27405857740585776)],[np.float64(-0.27510460251046026)],[1],[0],[0],[0.8441050000255927],['remember_box'],,,,,fazila,001,2025-11-13_12h33.20.674,Phase 2 Canli Replication,,2025.1.1,None,2025-11-13 12h33.42.166028 +0530,
Performance 2.jpg,old,14,14,0,[np.float64(0.028242677824267783)],[np.float64(-0.2730125523012552)],[1],[0],[0],[2.288020999985747],['familiar_box'],0,14,14,44,107.89392008399591,,,,,,,,,107.88996175001375,107.89392008399591,108.88102524995338,108.89036583399866,111.88452358392533,111.88452358392533,111.88452358392533,111.88452358392533,111.88452358392533,111.88452358392533,111.88452358392533,111.88452358392533,4.002878083032556,114.17299074993934,Familiar,2,[np.float64(0.028242677824267783)],[np.float64(-0.2730125523012552)],[1],[0],[0],[2.288020999985747],['familiar_box'],,,,,fazila,001,2025-11-13_12h33.20.674,Phase 2 Canli Replication,,2025.1.1,None,2025-11-13 12h33.42.166028 +0530,
Bubble 2.jpg,old,15,15,0,[np.float64(-0.100418410041841)],[np.float64(-0.28661087866108786)],[1],[0],[0],[2.9283440839499235],['familiar_box'],0,15,15,22,114.48816920898389,,,,,,,,,114.48409774992615,114.48816920898389,115.4722782089375,115.47846962499898,118.47364983393345,118.47364983393345,118.47364983393345,118.47364983393345,118.47364983393345,118.47364983393345,118.47364983393345,118.46052154200152,4.004680208046921,121.40964812494349,Familiar,2,[np.float64(-0.100418410041841)],[np.float64(-0.28661087866108786)],[1],[0],[0],[2.9283440839499235],['familiar_box'],,,,,fazila,001,2025-11-13_12h33.20.674,Phase 2 Canli Replication,,2025.1.1,None,2025-11-13 12h33.42.166028 +0530,
Skyscraper 1.jpg,old,16,16,0,[np.float64(-0.060669456066945605)],[np.float64(-0.2730125523012552)],[1],[0],[0],[1.574979875003919],['familiar_box'],0,16,16,42,121.72872854198795,,,,,,,,,121.72474354202859,121.72872854198795,122.7105152499862,122.72690379200503,125.7165068340255,125.7165068340255,125.7165068340255,125.7165068340255,125.7165068340255,125.7165068340255,125.7165068340255,125.70700287492946,4.001709291012958,127.29196699999738,Familiar,2,[np.float64(-0.060669456066945605)],[np.float64(-0.2730125523012552)],[1],[0],[0],[1.574979875003919],['familiar_box'],,,,,fazila,001,2025-11-13_12h33.20.674,Phase 2 Canli Replication,,2025.1.1,None,2025-11-13 12h33.42.166028 +0530,
Street 3.jpg,new,17,17,0,[np.float64(0.2939330543933054)],[np.float64(-0.3158995815899582)],[1],[0],[0],[1.1909920419566333],['forgotten_box'],0,17,17,71,127.60859658394475,,,,,,,,,127.60447679192293,127.60859658394475,128.5977754589403,128.60694224992767,131.5992458750261,131.5992458750261,131.5992458750261,131.5992458750261,131.5992458750261,131.5992458750261,131.5992458750261,131.5992458750261,4.002574332989752,132.7906961669214,Forgotten,1,[np.float64(0.2939330543933054)],[np.float64(-0.3158995815899582)],[1],[0],[0],[1.1909920419566333],['forgotten_box'],,,,,fazila,001,2025-11-13_12h33.20.674,Phase 2 Canli Replication,,2025.1.1,None,2025-11-13 12h33.42.166028 +0530,
Acorns 3.jpg,old,18,18,0,[np.float64(0.3064853556485356)],[np.float64(-0.2897489539748954)],[1],[0],[0],[4.26755329198204],['forgotten_box'],0,18,18,21,133.1061790420208,,,,,,,,,133.1020759169478,133.1061790420208,134.09097758401185,134.09528870892245,137.08873624994885,137.08873624994885,137.08873624994885,137.08873624994885,137.08873624994885,137.08873624994885,137.08873624994885,137.0790422919672,4.000396916992031,141.36358387500513,Forgotten,1,[np.float64(0.3064853556485356)],[np.float64(-0.2897489539748954)],[1],[0],[0],[4.26755329198204],['forgotten_box'],,,,,fazila,001,2025-11-13_12h33.20.674,Phase 2 Canli Replication,,2025.1.1,None,2025-11-13 12h33.42.166028 +0530,
Plane crash 3.jpg,old,19,19,0,[np.float64(-0.2824267782426778)],[np.float64(-0.33577405857740583)],[1],[0],[0],[2.719025749946013],['remember_box'],0,19,19,41,141.68634366698097,,,,,,,,,141.68214366701432,141.68634366698097,142.66319999995176,142.67873879196122,145.66660583403427,145.66660583403427,145.66660583403427,145.66660583403427,145.66660583403427,145.66660583403427,145.66660583403427,145.66660583403427,4.016312583000399,148.4094592499314,Remembered,3,[np.float64(-0.2824267782426778)],[np.float64(-0.33577405857740583)],[1],[0],[0],[2.719025749946013],['remember_box'],,,,,fazila,001,2025-11-13_12h33.20.674,Phase 2 Canli Replication,,2025.1.1,None,2025-11-13 12h33.42.166028 +0530,
Exercise 3.jpg,old,20,20,0,[np.float64(-0.3043933054393305)],[np.float64(-0.29916317991631797)],[1],[0],[0],[1.3154086249414831],['remember_box'],0,20,20,7,148.72712762502488,,,,,,,,,148.72306233400013,148.72712762502488,149.71295600000303,149.72334254195448,152.7159080839483,152.7159080839483,152.7159080839483,152.7159080839483,152.7159080839483,152.7159080839483,152.7159080839483,152.7159080839483,4.001637708046474,154.03169558395166,Remembered,3,[np.float64(-0.3043933054393305)],[np.float64(-0.29916317991631797)],[1],[0],[0],[1.3154086249414831],['remember_box'],,,,,fazila,001,2025-11-13_12h33.20.674,Phase 2 Canli Replication,,2025.1.1,None,2025-11-13 12h33.42.166028 +0530,
Sad face 9.jpg,new,21,21,0,[np.float64(0.27824267782426776)],[np.float64(-0.28451882845188287)],[1],[0],[0],[2.1515520840184763],['forgotten_box'],0,21,21,49,154.3503312090179,,,,,,,,,154.34671075001825,154.3503312090179,155.33078720897902,155.34456437500194,158.3324902500026,158.3324902500026,158.3324902500026,158.3324902500026,158.3324902500026,158.3324902500026,158.3324902500026,158.3324902500026,3.9993569999933243,160.4913199589355,Forgotten,1,[np.float64(0.27824267782426776)],[np.float64(-0.28451882845188287)],[1],[0],[0],[2.1515520840184763],['forgotten_box'],,,,,fazila,001,2025-11-13_12h33.20.674,Phase 2 Canli Replication,,2025.1.1,None,2025-11-13 12h33.42.166028 +0530,
Tornado 1.jpg,old,22,22,0,[np.float64(-0.4236401673640167)],[np.float64(-0.30962343096234307)],[1],[0],[0],[7.5125062089646235],['remember_box'],0,22,22,40,160.8083300839644,,,,,,,,,160.8041863749968,160.8083300839644,161.7897176250117,161.80675012501888,164.78869045898318,164.78869045898318,164.78869045898318,164.78869045898318,164.78869045898318,164.78869045898318,164.78869045898318,164.77906641701702,4.0001333330292255,172.30901408393402,Remembered,3,[np.float64(-0.4236401673640167)],[np.float64(-0.30962343096234307)],[1],[0],[0],[7.5125062089646235],['remember_box'],,,,,fazila,001,2025-11-13_12h33.20.674,Phase 2 Canli Replication,,2025.1.1,None,2025-11-13 12h33.42.166028 +0530,
Ferret 1.jpg,new,23,23,0,[np.float64(0.34309623430962344)],[np.float64(-0.29707112970711297)],[1],[0],[0],[1.1653340000193566],['forgotten_box'],0,23,23,62,172.6265301669482,,,,,,,,,172.6229591249721,172.6265301669482,173.61266020894982,173.623130791937,176.61608845903538,176.61608845903538,176.61608845903538,176.61608845903538,176.61608845903538,176.61608845903538,176.61608845903538,176.60656975000165,4.002503792056814,177.78182091691997,Forgotten,1,[np.float64(0.34309623430962344)],[np.float64(-0.29707112970711297)],[1],[0],[0],[1.1653340000193566],['forgotten_box'],,,,,fazila,001,2025-11-13_12h33.20.674,Phase 2 Canli Replication,,2025.1.1,None,2025-11-13 12h33.42.166028 +0530,
Police 2.jpg,old,24,24,0,[np.float64(-0.32112970711297073)],[np.float64(-0.2918410041841004)],[1],[0],[0],[1.3733269999502227],['remember_box'],0,24,24,3,178.10117679194082,,,,,,,,,178.09711558395065,178.10117679194082,179.08045512496028,179.09434141695965,182.08363258396275,182.08363258396275,182.08363258396275,182.08363258396275,182.08363258396275,182.08363258396275,182.08363258396275,182.08363258396275,4.001540541998111,183.46508929203264,Remembered,3,[np.float64(-0.32112970711297073)],[np.float64(-0.2918410041841004)],[1],[0],[0],[1.3733269999502227],['remember_box'],,,,,fazila,001,2025-11-13_12h33.20.674,Phase 2 Canli Replication,,2025.1.1,None,2025-11-13 12h33.42.166028 +0530,
Animal carcass 1.jpg,old,25,25,0,[np.float64(-0.28556485355648537)],[np.float64(-0.2730125523012552)],[1],[0],[0],[1.2466857919935137],['remember_box'],0,25,25,28,183.7873219589237,,,,,,,,,183.78329316701274,183.7873219589237,184.76226550003048,184.77820974995848,187.76446691702586,187.76446691702586,187.76446691702586,187.76446691702586,187.76446691702586,187.76446691702586,187.76446691702586,187.75651024992112,4.005768624949269,189.02602262492292,Remembered,3,[np.float64(-0.28556485355648537)],[np.float64(-0.2730125523012552)],[1],[0],[0],[1.2466857919935137],['remember_box'],,,,,fazila,001,2025-11-13_12h33.20.674,Phase 2 Canli Replication,,2025.1.1,None,2025-11-13 12h33.42.166028 +0530,
Severed finger 1.jpg,old,26,26,0,[np.float64(-0.2813807531380753)],[np.float64(-0.28451882845188287)],[1],[0],[0],[1.8270056250039488],['remember_box'],0,26,26,2,189.3428292919416,,,,,,,,,189.338568208972,189.3428292919416,190.32918333401904,190.3397580839228,193.33148620894644,193.33148620894644,193.33148620894644,193.33148620894644,193.33148620894644,193.33148620894644,193.33148620894644,193.32320704194717,4.000821458990686,195.15898270893376,Remembered,3,[np.float64(-0.2813807531380753)],[np.float64(-0.28451882845188287)],[1],[0],[0],[1.8270056250039488],['remember_box'],,,,,fazila,001,2025-11-13_12h33.20.674,Phase 2 Canli Replication,,2025.1.1,None,2025-11-13 12h33.42.166028 +0530,
Prison 2.jpg,new,27,27,0,[np.float64(0.5282426778242678)],[np.float64(-0.29916317991631797)],[1],[0],[0],[1.676238666055724],['forgotten_box'],0,27,27,56,195.47402533399872,,,,,,,,,195.46963283396326,195.47402533399872,196.463617124944,196.463617124944,199.46496566699352,199.46496566699352,199.46496566699352,199.46496566699352,199.46496566699352,199.46496566699352,199.46496566699352,199.46496566699352,4.0012097919825464,201.141731416923,Forgotten,1,[np.float64(0.5282426778242678)],[np.float64(-0.29916317991631797)],[1],[0],[0],[1.676238666055724],['forgotten_box'],,,,,fazila,001,2025-11-13_12h33.20.674,Phase 2 Canli Replication,,2025.1.1,None,2025-11-13 12h33.42.166028 +0530,
