thisN,thisTrialN,thisRepN,rating_resp.keys,rating_resp.rt,rating_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro_instructions.started,instructions.started,key_resp.started,intro_instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,image_rating.started,image.started,fixation.started,rating_resp.started,image.stopped,fixation.stopped,rating_resp.stopped,image_rating.stopped,trial_num,image_name,rating,response_given,trials.rating_resp.keys,trials.rating_resp.rt,trials.rating_resp.duration,end_thanks.started,thankyou.started,thankyou.stopped,end_thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.009464084054343402,0.016144792025443166,0.016144792025443166,14.968084000051022,space,14.748791749996599,None,,,,,,,,,,,,,,,,,,,,tiara,001,2025-10-30_10h35.30.999,Canli_replication,,2025.1.1,None,2025-10-30 10h35.41.057864 +0530,
0,0,0,2,0.9534960829769261,0.11806100001558661,0,0,0,0,14.993630875018425,,,,,,,,,14.988689459045418,14.993630875018425,17.965218375029508,17.965218375029508,17.991491250053514,21.972023875045124,21.972023875045124,21.95431516703684,1,Shark 8.jpg,2,1,2,0.9534960829769261,0.11806100001558661,,,,,tiara,001,2025-10-30_10h35.30.999,Canli_replication,,2025.1.1,None,2025-10-30 10h35.41.057864 +0530,
1,0,1,None,,,1,0,1,0,21.972023875045124,,,,,,,,,21.96721750003053,21.972023875045124,24.961244875041302,24.961244875041302,24.96929037501104,28.97501704201568,28.97501704201568,28.95439770905068,2,Sidewalk 2.jpg,NA,0,None,,,,,,,tiara,001,2025-10-30_10h35.30.999,Canli_replication,,2025.1.1,None,2025-10-30 10h35.41.057864 +0530,
2,0,2,3,0.6331174990045838,0.1363699589855969,2,0,2,0,28.97501704201568,,,,,,,,,28.970146167033818,28.97501704201568,31.961903875053395,31.961903875053395,31.969254125026055,35.96740787505405,35.96740787505405,35.952987000055145,3,Exercise 3.jpg,3,1,3,0.6331174990045838,0.1363699589855969,,,,,tiara,001,2025-10-30_10h35.30.999,Canli_replication,,2025.1.1,None,2025-10-30 10h35.41.057864 +0530,
3,0,3,3,0.8367543740314431,0.08984191698255017,3,0,3,0,35.96740787505405,,,,,,,,,35.96268137503648,35.96740787505405,38.960296334000304,38.960296334000304,38.960296334000304,42.969728042022325,42.969728042022325,42.955027167045046,4,Football player 1.jpg,3,1,3,0.8367543740314431,0.08984191698255017,,,,,tiara,001,2025-10-30_10h35.30.999,Canli_replication,,2025.1.1,None,2025-10-30 10h35.41.057864 +0530,
4,0,4,1,0.3714026669622399,0.18827625003177673,4,0,4,0,42.969728042022325,,,,,,,,,42.964893334021326,42.969728042022325,45.960544542002026,45.960544542002026,45.960544542002026,49.95842162502231,49.95842162502231,49.94436525000492,5,Car 1.jpg,1,1,1,0.3714026669622399,0.18827625003177673,,,,,tiara,001,2025-10-30_10h35.30.999,Canli_replication,,2025.1.1,None,2025-10-30 10h35.41.057864 +0530,
5,0,5,3,0.4910407079732977,0.11794924997957423,5,0,5,0,49.95842162502231,,,,,,,,,49.9545588340261,49.96941587503534,52.959945250011515,52.959945250011515,52.959945250011515,56.97075554204639,56.97075554204639,56.95505333400797,6,Bubble 2.jpg,3,1,3,0.4910407079732977,0.11794924997957423,,,,,tiara,001,2025-10-30_10h35.30.999,Canli_replication,,2025.1.1,None,2025-10-30 10h35.41.057864 +0530,
6,0,6,4,0.536644832987804,0.15000658301869407,6,0,6,0,56.97075554204639,,,,,,,,,56.965898959024344,56.97075554204639,59.960779584012926,59.960779584012926,59.96936533402186,63.968063417007215,63.968063417007215,63.953922000015154,7,Orangutan 1.jpg,4,1,4,0.536644832987804,0.15000658301869407,,,,,tiara,001,2025-10-30_10h35.30.999,Canli_replication,,2025.1.1,None,2025-10-30 10h35.41.057864 +0530,
7,0,7,3,0.6001040420378558,0.11800174997188151,7,0,7,0,63.968063417007215,,,,,,,,,63.963325959048234,63.968063417007215,66.96024512505392,66.96024512505392,66.96024512505392,70.96882266702596,70.96882266702596,70.95379412500188,8,Child labor 2.jpg,3,1,3,0.6001040420378558,0.11800174997188151,,,,,tiara,001,2025-10-30_10h35.30.999,Canli_replication,,2025.1.1,None,2025-10-30 10h35.41.057864 +0530,
8,0,8,3,0.8820043749874458,0.1459938749903813,8,0,8,0,70.96882266702596,,,,,,,,,70.96414266701322,70.96882266702596,73.95922704203986,73.95922704203986,73.95922704203986,77.96880008402513,77.96880008402513,77.95426075003343,9,Cockroach 1.jpg,3,1,3,0.8820043749874458,0.1459938749903813,,,,,tiara,001,2025-10-30_10h35.30.999,Canli_replication,,2025.1.1,None,2025-10-30 10h35.41.057864 +0530,
9,0,9,4,0.7404911660123616,0.14192195900250226,9,0,9,0,77.96880008402513,,,,,,,,,77.96371654199902,77.96880008402513,80.9599826670019,80.9599826670019,80.9599826670019,84.96061250002822,84.96061250002822,84.94424875004916,10,Police 2.jpg,4,1,4,0.7404911660123616,0.14192195900250226,,,,,tiara,001,2025-10-30_10h35.30.999,Canli_replication,,2025.1.1,None,2025-10-30 10h35.41.057864 +0530,
10,0,10,2,0.5775280420202762,0.12198941601673141,10,0,10,0,84.96061250002822,,,,,,,,,84.95669704204192,84.96905454201624,87.95994633401278,87.95994633401278,87.95994633401278,91.95984270900954,91.95984270900954,91.94396625005174,11,Band 1.jpg,2,1,2,0.5775280420202762,0.12198941601673141,,,,,tiara,001,2025-10-30_10h35.30.999,Canli_replication,,2025.1.1,None,2025-10-30 10h35.41.057864 +0530,
11,0,11,4,0.30937916599214077,0.13407116697635502,11,0,11,0,91.95984270900954,,,,,,,,,91.9556783750304,91.96908904204611,94.95867704204284,94.95867704204284,94.95867704204284,98.95816637499956,98.95816637499956,98.94421587500256,12,Car crash 2.jpg,4,1,4,0.30937916599214077,0.13407116697635502,,,,,tiara,001,2025-10-30_10h35.30.999,Canli_replication,,2025.1.1,None,2025-10-30 10h35.41.057864 +0530,
12,0,12,4,1.2938117489684373,0.1683362090261653,12,0,12,0,98.95816637499956,,,,,,,,,98.95415425003739,98.96894495905144,101.95994920900557,101.95994920900557,101.95994920900557,105.96827408403624,105.96827408403624,105.95353675005026,13,Feces 2.jpg,4,1,4,1.2938117489684373,0.1683362090261653,,,,,tiara,001,2025-10-30_10h35.30.999,Canli_replication,,2025.1.1,None,2025-10-30 10h35.41.057864 +0530,
13,0,13,4,2.8110652079922147,0.16176004201406613,13,0,13,0,105.96827408403624,,,,,,,,,105.96352170902537,105.96827408403624,108.95965383405564,108.95965383405564,108.95965383405564,112.96946183399996,112.96946183399996,112.95403433404863,14,War 6.jpg,4,1,4,2.8110652079922147,0.16176004201406613,,,,,tiara,001,2025-10-30_10h35.30.999,Canli_replication,,2025.1.1,None,2025-10-30 10h35.41.057864 +0530,
14,0,14,4,0.6566744999727234,0.162091167003382,14,0,14,0,112.96946183399996,,,,,,,,,112.96457687503425,112.96946183399996,115.96031995903468,115.96031995903468,115.96031995903468,119.96925891702995,119.96925891702995,119.95376212504925,15,Dog 24.jpg,4,1,4,0.6566744999727234,0.162091167003382,,,,,tiara,001,2025-10-30_10h35.30.999,Canli_replication,,2025.1.1,None,2025-10-30 10h35.41.057864 +0530,
15,0,15,3,0.34501241601537913,0.14608895796118304,15,0,15,0,119.96925891702995,,,,,,,,,119.96455479203723,119.96925891702995,122.96033100003842,122.96033100003842,122.96033100003842,126.96818154200446,126.96818154200446,126.95385283400537,16,Cat 12.jpg,3,1,3,0.34501241601537913,0.14608895796118304,,,,,tiara,001,2025-10-30_10h35.30.999,Canli_replication,,2025.1.1,None,2025-10-30 10h35.41.057864 +0530,
16,0,16,4,0.5962874159449711,0.1660457500256598,16,0,16,0,126.96818154200446,,,,,,,,,126.96342058404116,126.96818154200446,129.96011412504595,129.96011412504595,129.96011412504595,133.96943020902108,133.96943020902108,133.95284495904343,17,Plane crash 3.jpg,4,1,4,0.5962874159449711,0.1660457500256598,,,,,tiara,001,2025-10-30_10h35.30.999,Canli_replication,,2025.1.1,None,2025-10-30 10h35.41.057864 +0530,
17,0,17,2,0.7932307500159368,0.15385470795445144,17,0,17,0,133.96943020902108,,,,,,,,,133.96460291702533,133.96943020902108,136.9604670840199,136.9604670840199,136.9604670840199,140.96832170902053,140.96832170902053,140.951940167055,18,Skyscraper 1.jpg,2,1,2,0.7932307500159368,0.15385470795445144,,,,,tiara,001,2025-10-30_10h35.30.999,Canli_replication,,2025.1.1,None,2025-10-30 10h35.41.057864 +0530,
18,0,18,4,0.6844305830309168,0.14199529198231176,18,0,18,0,140.96832170902053,,,,,,,,,140.96337541704997,140.96832170902053,143.95985604199814,143.95985604199814,143.95985604199814,147.96711554203648,147.96711554203648,147.95193308405578,19,Performance 2.jpg,4,1,4,0.6844305830309168,0.14199529198231176,,,,,tiara,001,2025-10-30_10h35.30.999,Canli_replication,,2025.1.1,None,2025-10-30 10h35.41.057864 +0530,
19,0,19,4,0.4180560000240803,0.19001208298141137,19,0,19,0,147.96711554203648,,,,,,,,,147.96218733402202,147.96711554203648,150.96050354203908,150.96050354203908,150.96050354203908,154.96797891700407,154.96797891700407,154.9522618750343,20,Car accident 2.jpg,4,1,4,0.4180560000240803,0.19001208298141137,,,,,tiara,001,2025-10-30_10h35.30.999,Canli_replication,,2025.1.1,None,2025-10-30 10h35.41.057864 +0530,
20,0,20,1,0.7420265409746207,0.13800233299843967,20,0,20,0,154.96797891700407,,,,,,,,,154.96310400002403,154.96797891700407,157.9595465840539,157.9595465840539,157.9595465840539,161.96855437505292,161.96855437505292,161.95348729204852,21,Acorns 3.jpg,1,1,1,0.7420265409746207,0.13800233299843967,,,,,tiara,001,2025-10-30_10h35.30.999,Canli_replication,,2025.1.1,None,2025-10-30 10h35.41.057864 +0530,
21,0,21,3,0.5748927500098944,0.13804512500064448,21,0,21,0,161.96855437505292,,,,,,,,,161.96382158400957,161.96855437505292,164.95980520901503,164.95980520901503,164.95980520901503,168.97047737502726,168.97047737502726,168.95291133405408,22,Soldiers 8.jpg,3,1,3,0.5748927500098944,0.13804512500064448,,,,,tiara,001,2025-10-30_10h35.30.999,Canli_replication,,2025.1.1,None,2025-10-30 10h35.41.057864 +0530,
22,0,22,4,0.5097988749621436,0.1420321250334382,22,0,22,0,168.97047737502726,,,,,,,,,168.9657596250181,168.97047737502726,171.9600767500233,171.9600767500233,171.9682924170047,175.96847608400276,175.96847608400276,175.95297666703118,23,Pigeon 6.jpg,4,1,4,0.5097988749621436,0.1420321250334382,,,,,tiara,001,2025-10-30_10h35.30.999,Canli_replication,,2025.1.1,None,2025-10-30 10h35.41.057864 +0530,
23,0,23,4,0.5497617920045741,0.1580648749950342,23,0,23,0,175.96847608400276,,,,,,,,,175.9636008750531,175.96847608400276,178.95950400002766,178.95950400002766,178.95950400002766,182.96981929201866,182.96981929201866,182.95301641704282,24,Plane crash 1.jpg,4,1,4,0.5497617920045741,0.1580648749950342,,,,,tiara,001,2025-10-30_10h35.30.999,Canli_replication,,2025.1.1,None,2025-10-30 10h35.41.057864 +0530,
24,0,24,4,0.6389130000025034,0.14998166699660942,24,0,24,0,182.96981929201866,,,,,,,,,182.9651310420013,182.96981929201866,185.95968870900106,185.95968870900106,185.96820787503384,189.97058566700434,189.97058566700434,189.95325779204722,25,Dead bodies 1.jpg,4,1,4,0.6389130000025034,0.14998166699660942,,,,,tiara,001,2025-10-30_10h35.30.999,Canli_replication,,2025.1.1,None,2025-10-30 10h35.41.057864 +0530,
25,0,25,1,0.5596181249711663,0.15000216598855332,25,0,25,0,189.97058566700434,,,,,,,,,189.96576454205206,189.97058566700434,192.95978945901152,192.95978945901152,192.968093084055,196.9690653340076,196.9690653340076,196.95328158402117,26,Wedding 12.jpg,1,1,1,0.5596181249711663,0.15000216598855332,,,,,tiara,001,2025-10-30_10h35.30.999,Canli_replication,,2025.1.1,None,2025-10-30 10h35.41.057864 +0530,
26,0,26,2,0.4327366250217892,0.15412595798261464,26,0,26,0,196.9690653340076,,,,,,,,,196.9643820420024,196.9690653340076,199.95876170904376,199.95876170904376,199.95876170904376,203.95474691700656,203.95474691700656,203.94229504204122,27,Pig 2.jpg,2,1,2,0.4327366250217892,0.15412595798261464,,,,,tiara,001,2025-10-30_10h35.30.999,Canli_replication,,2025.1.1,None,2025-10-30 10h35.41.057864 +0530,
27,0,27,3,0.3619759170105681,0.17805354099255055,27,0,27,0,203.95474691700656,,,,,,,,,203.95139587501762,203.96801104204496,206.95991987502202,206.95991987502202,206.95991987502202,210.97213733399985,210.97213733399985,210.9542225000332,28,Grass 6.jpg,3,1,3,0.3619759170105681,0.17805354099255055,,,,,tiara,001,2025-10-30_10h35.30.999,Canli_replication,,2025.1.1,None,2025-10-30 10h35.41.057864 +0530,
