image_name,condition,thisN,thisTrialN,thisRepN,mouse_resp.x,mouse_resp.y,mouse_resp.leftButton,mouse_resp.midButton,mouse_resp.rightButton,mouse_resp.time,mouse_resp.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro_instructions.started,text_2.started,key_resp.started,intro_instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,fixation.started,stim_image.started,fixation.stopped,stim_image.stopped,text.started,remember_box.started,familiar_box.started,forgotten_box.started,remember_text.started,familiar_text.started,forgotten_text.started,mouse_resp.started,trial.stopped,response_label,response_code,trials.mouse_resp.x,trials.mouse_resp.y,trials.mouse_resp.leftButton,trials.mouse_resp.midButton,trials.mouse_resp.rightButton,trials.mouse_resp.time,trials.mouse_resp.clicked_name,end_thanks.started,thanks.started,thanks.stopped,end_thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.009656374924816191,0.016390540986321867,0.016390540986321867,14.386403332930058,space,14.36097808193881,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,eva,002,2025-11-16_12h55.10.296,Phase 2 Canli Replication,,2025.1.1,None,2025-11-16 12h57.37.371700 +0530,
Thunderstorm 10.jpg,new,0,0,0,[np.float64(-0.05230125523012552)],[np.float64(-0.28870292887029286)],[1],[0],[0],[1.4240192079450935],['familiar_box'],0,0,0,69,14.444800124969333,,,,,,,,,14.427632416016422,14.444800124969333,15.382766124908812,15.44004141597543,18.37286733300425,18.398355457931757,18.398355457931757,18.398355457931757,18.398355457931757,18.398355457931757,18.398355457931757,18.398355457931757,4.011991833918728,19.82268495799508,Familiar,2,[np.float64(-0.05230125523012552)],[np.float64(-0.28870292887029286)],[1],[0],[0],[1.4240192079450935],['familiar_box'],,,,,eva,002,2025-11-16_12h55.10.296,Phase 2 Canli Replication,,2025.1.1,None,2025-11-16 12h57.37.371700 +0530,
Frustrated pose 2.jpg,new,1,1,0,[np.float64(0.2384937238493724)],[np.float64(-0.303347280334728)],[1],[0],[0],[1.7903790840646252],['forgotten_box'],0,1,1,50,20.136816708021797,,,,,,,,,20.1328054999467,20.136816708021797,21.124818332958966,21.134225375019014,24.1274407079909,24.1274407079909,24.1274407079909,24.1274407079909,24.1274407079909,24.1274407079909,24.1274407079909,24.1274407079909,4.000218208064325,25.918216624995694,Forgotten,1,[np.float64(0.2384937238493724)],[np.float64(-0.303347280334728)],[1],[0],[0],[1.7903790840646252],['forgotten_box'],,,,,eva,002,2025-11-16_12h55.10.296,Phase 2 Canli Replication,,2025.1.1,None,2025-11-16 12h57.37.371700 +0530,
Stingray 2.jpg,old,2,2,0,[np.float64(-0.34309623430962344)],[np.float64(-0.32112970711297073)],[1],[0],[0],[0.5178772920044139],['remember_box'],0,2,2,33,26.23337862500921,,,,,,,,,26.229183165938593,26.23337862500921,27.21766691596713,27.22422429092694,30.206220499938354,30.215935790911317,30.215935790911317,30.215935790911317,30.215935790911317,30.215935790911317,30.215935790911317,30.215935790911317,4.000489208032377,30.741410749964416,Remembered,3,[np.float64(-0.34309623430962344)],[np.float64(-0.32112970711297073)],[1],[0],[0],[0.5178772920044139],['remember_box'],,,,,eva,002,2025-11-16_12h55.10.296,Phase 2 Canli Replication,,2025.1.1,None,2025-11-16 12h57.37.371700 +0530,
Grass 6.jpg,old,3,3,0,[np.float64(0.252092050209205)],[np.float64(-0.32322175732217573)],[1],[0],[0],[0.38996154197957367],['forgotten_box'],0,3,3,47,31.061176665942185,,,,,,,,,31.057416624971665,31.061176665942185,32.04124341602437,32.056340166018344,35.043849290930666,35.043849290930666,35.043849290930666,35.043849290930666,35.043849290930666,35.043849290930666,35.043849290930666,35.043849290930666,4.001172082964331,35.44225491594989,Forgotten,1,[np.float64(0.252092050209205)],[np.float64(-0.32322175732217573)],[1],[0],[0],[0.38996154197957367],['forgotten_box'],,,,,eva,002,2025-11-16_12h55.10.296,Phase 2 Canli Replication,,2025.1.1,None,2025-11-16 12h57.37.371700 +0530,
War 8.jpg,old,4,4,0,[np.float64(-0.2907949790794979)],[np.float64(-0.3179916317991632)],[1],[0],[0],[0.41794545901939273],['remember_box'],0,4,4,38,35.76244466600474,,,,,,,,,35.75846608297434,35.76244466600474,36.74121066601947,36.75654237496201,39.74350279092323,39.74350279092323,39.74350279092323,39.74350279092323,39.74350279092323,39.74350279092323,39.74350279092323,39.74350279092323,3.9997742919949815,40.16883791598957,Remembered,3,[np.float64(-0.2907949790794979)],[np.float64(-0.3179916317991632)],[1],[0],[0],[0.41794545901939273],['remember_box'],,,,,eva,002,2025-11-16_12h55.10.296,Phase 2 Canli Replication,,2025.1.1,None,2025-11-16 12h57.37.371700 +0530,
Dog 24.jpg,old,5,5,0,[np.float64(-0.3880753138075314)],[np.float64(-0.3378661087866109)],[1],[0],[0],[0.6014917499851435],['remember_box'],0,5,5,24,40.48467983293813,,,,,,,,,40.48069949995261,40.48467983293813,41.46730437502265,41.47350387496408,44.456222416018136,44.46596091601532,44.46596091601532,44.46596091601532,44.46596091601532,44.46596091601532,44.46596091601532,44.46596091601532,4.000096000032499,45.07520904100966,Remembered,3,[np.float64(-0.3880753138075314)],[np.float64(-0.3378661087866109)],[1],[0],[0],[0.6014917499851435],['remember_box'],,,,,eva,002,2025-11-16_12h55.10.296,Phase 2 Canli Replication,,2025.1.1,None,2025-11-16 12h57.37.371700 +0530,
Exercise 3.jpg,old,6,6,0,[np.float64(-0.3880753138075314)],[np.float64(-0.3378661087866109)],[1],[0],[0],[0.36891062499489635],['remember_box'],0,6,6,7,45.396151207969524,,,,,,,,,45.392029415932484,45.396151207969524,46.37366325000767,46.3895836250158,49.36728270794265,49.3770813329611,49.3770813329611,49.3770813329611,49.3770813329611,49.3770813329611,49.3770813329611,49.3770813329611,3.9999480409314856,49.75321925000753,Remembered,3,[np.float64(-0.3880753138075314)],[np.float64(-0.3378661087866109)],[1],[0],[0],[0.36891062499489635],['remember_box'],,,,,eva,002,2025-11-16_12h55.10.296,Phase 2 Canli Replication,,2025.1.1,None,2025-11-16 12h57.37.371700 +0530,
Animal carcass 1.jpg,old,7,7,0,[np.float64(-0.3880753138075314)],[np.float64(-0.3378661087866109)],[1],[0],[0],[0.3739961670944467],['remember_box'],0,7,7,28,50.07081099995412,,,,,,,,,50.06686445791274,50.07081099995412,51.05775245791301,51.06735837494489,54.060837458004244,54.060837458004244,54.060837458004244,54.060837458004244,54.060837458004244,54.060837458004244,54.060837458004244,54.060837458004244,4.002678457996808,54.435233415919356,Remembered,3,[np.float64(-0.3880753138075314)],[np.float64(-0.3378661087866109)],[1],[0],[0],[0.3739961670944467],['remember_box'],,,,,eva,002,2025-11-16_12h55.10.296,Phase 2 Canli Replication,,2025.1.1,None,2025-11-16 12h57.37.371700 +0530,
Crow 1.jpg,new,8,8,0,[np.float64(-0.12761506276150628)],[np.float64(-0.3274058577405858)],[1],[0],[0],[0.3356614999938756],['familiar_box'],0,8,8,64,54.749475040938705,,,,,,,,,54.74546674999874,54.749475040938705,55.733912249910645,55.74007320799865,58.722450500004925,58.73232787498273,58.73232787498273,58.73232787498273,58.73232787498273,58.73232787498273,58.73232787498273,58.73232787498273,3.9997626250842586,59.07551491598133,Familiar,2,[np.float64(-0.12761506276150628)],[np.float64(-0.3274058577405858)],[1],[0],[0],[0.3356614999938756],['familiar_box'],,,,,eva,002,2025-11-16_12h55.10.296,Phase 2 Canli Replication,,2025.1.1,None,2025-11-16 12h57.37.371700 +0530,
