Study_word,thisN,thisTrialN,thisRepN,test_word,Reference,old_new,test_textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,StudyText.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,TestText.started,test_textbox.started,submit_text.started,mouse.started,test.stopped,trials_2.test_textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,TestText.stopped,test_textbox.stopped,submit_text.stopped,mouse.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
chart,0,0,0,_oo_,book,old,"book
",[np.float64(-0.005)],[np.float64(-0.3)],[1],[0],[0],[5.973785499983933],['submit_text'],0,14,14,6,0,0,0,13,14.992414208012633,,14.247247749997769,14.254845582996495,14.254845582996495,14.978288916987367,1.035,0.7254536249965895,14.984018457995262,14.992414208012633,14.992414208012633,14.992414208012633,0.005730707984184846,20.957976458012126,"book
",[np.float64(-0.005)],[np.float64(-0.3)],[1],[0],[0],[5.973785499983933],['submit_text'],,,,,PP,001,2025-10-09_14h13.38.115,Word Priming Experiment,,2025.1.1,None,2025-10-09 14h13.54.401372 +0530,
,1,1,0,c_s_,case,old,"casstr
",[np.float64(0.09375)],[np.float64(-0.3175)],[1],[0],[0],[7.518955374980578],['submit_text'],,,,,0,1,1,5,20.967696542007616,,,,,,,,20.960026707994984,20.967696542007616,20.967696542007616,20.967696542007616,0.001916582987178117,28.479168582998682,"casstr
",[np.float64(0.09375)],[np.float64(-0.3175)],[1],[0],[0],[7.518955374980578],['submit_text'],,,,,PP,001,2025-10-09_14h13.38.115,Word Priming Experiment,,2025.1.1,None,2025-10-09 14h13.54.401372 +0530,
,2,2,0,_ho_e,phone,old,shose,[],[],[],[],[],[],[],,,,,0,2,2,12,28.48938275000546,,,,,,,,28.481520000001183,28.48938275000546,28.48938275000546,28.48938275000546,0.002260125009343028,38.47289295800147,shose,[],[],[],[],[],[],[],38.483500000002095,38.483500000002095,38.483500000002095,9.993414958007634,PP,001,2025-10-09_14h13.38.115,Word Priming Experiment,,2025.1.1,None,2025-10-09 14h13.54.401372 +0530,
,3,3,0,_a_bl_,marble,old,marble,"[np.float64(0.09375), np.float64(0.06125)]","[np.float64(-0.23125), np.float64(-0.28625)]","[1, 1]","[0, 0]","[0, 0]","[3.323490207985742, 4.106497708009556]","[None, 'submit_text']",,,,,0,3,3,11,38.483500000002095,,,,,,,,38.47527933301171,38.483500000002095,38.483500000002095,38.483500000002095,0.004305416019633412,42.59019279200584,marble,"[np.float64(0.09375), np.float64(0.06125)]","[np.float64(-0.23125), np.float64(-0.28625)]","[1, 1]","[0, 0]","[0, 0]","[3.323490207985742, 4.106497708009556]","[None, 'submit_text']",,,,,PP,001,2025-10-09_14h13.38.115,Word Priming Experiment,,2025.1.1,None,2025-10-09 14h13.54.401372 +0530,
,4,4,0,p_st_r,poster,old,poster,"[np.float64(0.0625), np.float64(0.05875), np.float64(0.055)]","[np.float64(-0.3675), np.float64(-0.33125), np.float64(-0.31625)]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[3.7983395000046585, 4.587021874991478, 5.498132334003458]","[None, None, 'submit_text']",,,,,0,4,4,9,42.5996018750011,,,,,,,,42.592078874993604,42.5996018750011,42.5996018750011,42.5996018750011,0.001772165996953845,48.090446582995355,poster,"[np.float64(0.0625), np.float64(0.05875), np.float64(0.055)]","[np.float64(-0.3675), np.float64(-0.33125), np.float64(-0.31625)]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[3.7983395000046585, 4.587021874991478, 5.498132334003458]","[None, None, 'submit_text']",,,,,PP,001,2025-10-09_14h13.38.115,Word Priming Experiment,,2025.1.1,None,2025-10-09 14h13.54.401372 +0530,
,5,5,0,c_m_ra,camera,new,camera,[np.float64(0.055)],[np.float64(-0.31625)],[1],[0],[0],[2.713845666992711],['submit_text'],,,,,0,5,5,19,48.10069683298934,,,,,,,,48.09295749999001,48.10069683298934,48.10069683298934,48.10069683298934,0.0023389169946312904,50.807046833011555,camera,[np.float64(0.055)],[np.float64(-0.31625)],[1],[0],[0],[2.713845666992711],['submit_text'],,,,,PP,001,2025-10-09_14h13.38.115,Word Priming Experiment,,2025.1.1,None,2025-10-09 14h13.54.401372 +0530,
,6,6,0,t_hi_t,t-shirt,old,,[np.float64(0.055)],[np.float64(-0.31625)],[1],[0],[0],[9.230464916006895],['submit_text'],,,,,0,6,6,2,50.81724299999769,,,,,,,,50.80937212498975,50.81724299999769,50.81724299999769,50.81724299999769,0.0021847920143045485,60.040052541997284,,[np.float64(0.055)],[np.float64(-0.31625)],[1],[0],[0],[9.230464916006895],['submit_text'],,,,,PP,001,2025-10-09_14h13.38.115,Word Priming Experiment,,2025.1.1,None,2025-10-09 14h13.54.401372 +0530,
,7,7,0,l_pt_p,laptop,old,laptop,[np.float64(0.055)],[np.float64(-0.31625)],[1],[0],[0],[2.5697686659987085],['submit_text'],,,,,0,7,7,0,60.04898675001459,,,,,,,,60.0420033330156,60.04898675001459,60.04898675001459,60.04898675001459,0.0018525829946156591,62.61195454199333,laptop,[np.float64(0.055)],[np.float64(-0.31625)],[1],[0],[0],[2.5697686659987085],['submit_text'],,,,,PP,001,2025-10-09_14h13.38.115,Word Priming Experiment,,2025.1.1,None,2025-10-09 14h13.54.401372 +0530,
,8,8,0,_ha_t,chart,old,chart,[np.float64(0.055)],[np.float64(-0.31625)],[1],[0],[0],[4.109413291997043],['submit_text'],,,,,0,8,8,1,62.6222500000149,,,,,,,,62.61403437500121,62.6222500000149,62.6222500000149,62.6222500000149,0.0019874580029863864,66.72366745799081,chart,[np.float64(0.055)],[np.float64(-0.31625)],[1],[0],[0],[4.109413291997043],['submit_text'],,,,,PP,001,2025-10-09_14h13.38.115,Word Priming Experiment,,2025.1.1,None,2025-10-09 14h13.54.401372 +0530,
,9,9,0,p_li_e,police,old,police,[np.float64(0.055)],[np.float64(-0.31625)],[1],[0],[0],[2.135972957999911],['submit_text'],,,,,0,9,9,7,66.73368699999992,,,,,,,,66.72582362499088,66.73368699999992,66.73368699999992,66.73368699999992,0.0020326669909991324,68.86199691699585,police,[np.float64(0.055)],[np.float64(-0.31625)],[1],[0],[0],[2.135972957999911],['submit_text'],,,,,PP,001,2025-10-09_14h13.38.115,Word Priming Experiment,,2025.1.1,None,2025-10-09 14h13.54.401372 +0530,
