image_name,condition
Dead bodies 1.jpg,old
War 6.jpg,old
Severed finger 1.jpg,old
Police 2.jpg,old
Soldiers 8.jpg,old
Child labor 2.jpg,old
Football player 1.jpg,old
Exercise 3.jpg,old
Band 1.jpg,old
Rafting 6.jpg,old
Gazing 2.jpg,old
School 1.jpg,old
Feces 2.jpg,old
Shot 3.jpg,old
Car accident 2.jpg,old
Ambulance 1.jpg,old
Plane crash 1.jpg,old
Gun 5.jpg,old
Bark 6.jpg,old
Alcohol 6.jpg,old
Sidewalk 2.jpg,old
Acorns 3.jpg,old
Bubble 2.jpg,old
Car 1.jpg,old
Dog 24.jpg,old
Cockroach 1.jpg,old
Pigeon 6.jpg,old
Dog attack 3.jpg,old
Animal carcass 1.jpg,old
Spider 2.jpg,old
Shark 8.jpg,old
Bear 2.jpg,old
Pig 2.jpg,old
Stingray 2.jpg,old
Orangutan 1.jpg,old
Cat 12.jpg,old
Fire 9.jpg,old
Dirt 1.jpg,old
War 8.jpg,old
Car crash 2.jpg,old
Tornado 1.jpg,old
Plane crash 3.jpg,old
Skyscraper 1.jpg,old
Snow 3.jpg,old
Performance 2.jpg,old
Wedding 12.jpg,old
Solar panel 1.jpg,old
Grass 6.jpg,old
Dead bodies 2.jpg,new
Sad face 9.jpg,new
Frustrated pose 2.jpg,new
Toast 1,new
Cold 6,new
Astronaut 2,new
Bloody knife 1.jpg,new
Feces 1.jpg,new
Prison 2.jpg,new
Timber 2.jpg,new
Rocks 1.jpg,new
Statue 2.jpg,new
Dog 31.jpg,new
Snake 4.jpg,new
Ferret 1.jpg,new
Horse racing 1.jpg,new
Crow 1.jpg,new
Lion 1.jpg,new
Garbage dump 2.jpg,new
Explosion 5.jpg,new
Jail 1.jpg,new
Thunderstorm 10.jpg,new
Building 2.jpg,new
Street 3.jpg,new
